# A2F. [[NeuAc(a2-6) Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [NeuAc(a2-6) Gal(b1-4) GlcNAc(b1-2) Man(a1-6)] Man(b1-4) GlcNAc(b1-4)] [Fuc(a1-6)] GlcNAc(b1-0)
# Reduced
# Metal:Na
# Method: EED
# Permethylated
# Precursor: Na+ 2982.5039

m/z	z	I
208.1329	1+	1797636
208.56733	3+	184061
210.30423	3+	192962
214.43639	1+	227468
214.45101	2+	202194
214.74571	3+	330653
217.88903	3+	246567
218.10252	1+	221113
218.94291	3+	262919
220.04142	2+	222221
220.27699	1+	208278
220.62696	2+	249879
220.83171	2+	247994
221.72552	3+	332770
222.45488	2+	220027
224.01009	3+	243851
224.12544	1+	2251754
224.56154	1+	229077
225.12875	1+	238167
225.76218	1+	251014
226.02445	2+	231268
227.0885	2+	1245159
229.57557	2+	300579
232.06848	1+	216794
234.24339	3+	230897
236.40368	2+	277091
236.88387	3+	683690
238.04832	1+	229731
238.79127	3+	390682
240.15932	2+	2064952
241.83559	1+	243935
241.87371	3+	237290
242.7251	3+	266186
243.76501	3+	230389
244.11748	2+	323414
245.09929	1+	2514725
245.42954	2+	230955
246.10996	3+	218029
246.13334	1+	5346566
246.41865	2+	248824
247.75695	3+	332968
248.09163	3+	389255
248.73658	3+	336257
249.38608	1+	222538
249.90605	2+	241193
250.0082	1+	221326
250.31848	1+	269254
250.72706	3+	223502
251.2579	3+	245178
251.29387	3+	218420
252.17991	1+	231392
254.13609	1+	5907018
259.44776	2+	250758
259.65483	2+	225995
260.14895	1+	1515837
262.14116	1+	3281833
262.1647	2+	351440
263.20766	1+	221359
264.14902	2+	226268
266.80002	1+	222635
267.45773	2+	314013
267.72103	3+	302117
268.11531	1+	2845468
268.4219	3+	262253
268.718	2+	236206
269.09914	1+	463131
269.58593	2+	328970
269.7433	3+	462809
269.76296	3+	334528
269.92399	1+	249587
270.78731	3+	225966
271.32717	1+	296164
272.03058	2+	224620
272.14789	1+	222029
276.8486	2+	272775
276.90044	2+	241137
279.65915	3+	272376
280.17523	1+	407124
280.65858	2+	268339
282.11833	3+	249556
282.13099	1+	1795887
282.96226	1+	11167125
284.14666	1+	1746098
284.59239	2+	239366
284.62311	3+	313243
284.76442	3+	225776
284.97962	2+	237286
292.11545	2+	248450
292.34398	1+	239796
293.32598	3+	235613
294.16739	3+	357205
296.11025	1+	3433488
296.50345	3+	259001
296.51613	2+	226525
297.01619	3+	238486
297.89457	3+	269497
298.26152	2+	253362
298.65284	2+	253248
300.08201	2+	250659
302.9476	2+	226766
304.03582	2+	231165
306.31044	1+	236541
306.65066	2+	272772
307.77697	3+	245628
308.58814	2+	318158
309.09189	1+	2886988
310.12594	1+	1824071
312.14398	1+	6397170
312.41534	1+	234772
312.47629	2+	268824
315.14124	1+	10002008
315.67469	2+	235637
316.10629	1+	343124
317.79442	3+	267906
317.84176	3+	270759
318.30433	2+	247260
320.12371	1+	279832
320.94125	1+	590828
321.56413	1+	238514
324.14168	1+	2568907
324.62383	2+	340549
325.12541	1+	448981
325.14932	2+	418995
326.15726	1+	5455917
326.39505	1+	235275
326.7882	3+	263137
327.10488	1+	2168882
