# LNnT. Gal(b1-4) GlcNAc(b1-3) Gal(b1-4) Glc
# Metal:Na
# Method: EED
# Permethylated
# Precursor: Na+ 926.45661


m/z	z	I
207.03225	1+	167151856
207.97603	1+	11729495
243.34669	2+	7041953
245.2263	1+	7396938
245.28718	1+	6039535
245.40436	2+	6878678
257.03391	2+	6603176
259.11518	1+	88386440
281.05115	1+	271240608
282.7632	3+	6361212
287.11057	3+	79852232
288.14352	3+	11671880
288.81559	3+	16185477
296.11062	2+	23927490
297.09232	2+	5992566
308.48551	1+	8373314
308.8191	3+	380652608
309.40453	1+	6106479
312.86894	1+	6477809
315.77066	2+	7850943
318.3784	4+	6392905
318.38729	3+	7143291
320.34373	1+	15465719
322.07979	2+	7145535
322.10628	2+	6158851
329.15709	1+	128595344
341.07059	2+	6131253
345.66885	1+	14303461
351.67147	2+	6315317
354.25123	1+	6208646
355.06995	1+	144802272
360.12237	4+	6675627
362.04024	1+	6185065
362.05776	3+	8945625
362.3908	1+	13514895
366.18865	3+	6523632
366.55689	3+	6496739
367.29943	1+	6649235
367.95672	2+	6317634
368.34376	1+	53951964
368.94013	2+	6110277
370.35952	3+	21229640
372.14467	1+	7734310
379.21041	3+	7362354
379.68423	1+	6224292
381.98933	3+	21788278
382.32305	1+	27802696
383.6998	2+	10050187
386.05736	3+	8087149
388.74473	4+	6652364
390.58116	2+	6295522
394.81932	1+	6506002
401.17831	1+	32675398
403.19385	1+	55291696
403.94746	3+	6933891
406.063	3+	6435352
406.18591	3+	7157066
410.17859	1+	13547133
415.19392	1+	377663200
428.22561	1+	62700528
429.08799	1+	88417616
430.20481	1+	68659744
431.18883	1+	82509696
434.48577	1+	7888032
436.32843	2+	7171134
438.73277	2+	6597301
440.18911	1+	42939936
442.2048	1+	74742432
444.19688	3+	9776192
445.20444	1+	717590016
447.18312	3+	20723284
447.18452	1+	7456067
451.15546	2+	7030101
454.20487	1+	31732880
454.45439	1+	12180973
456.22067	1+	50247464
458.23607	1+	320552000
458.44636	2+	7091063
460.21531	1+	66127504
460.50144	2+	13048563
461.1994	1+	586987392
463.2150	1+	1515462144
464.2490	1+	46571996
470.19962	1+	172521072
470.48439	1+	19244370
472.21546	1+	761202752
472.50066	1+	14431689
474.51619	1+	10566530
482.4855	1+	13793786
486.23098	1+	2208071680
488.21043	1+	35776256
488.23685	3+	14077710
491.20985	1+	1606690304
492.21696	1+	22979538
498.18478	3+	9062867
502.2260	1+	696483072
503.10661	1+	30093772
504.24157	1+	45859820
508.68105	1+	7187652
510.51662	1+	15547247
512.53104	1+	16596161
516.24404	1+	7630410
524.53107	1+	12144993
532.23646	1+	150755728
553.90729	2+	7301566
560.26775	1+	134594592
583.84197	1+	6917198
588.29884	1+	35284328
599.45638	2+	6975505
604.29413	1+	71368536
616.29414	1+	106205096
618.30969	1+	232061120
627.7907	2+	23937478
628.29436	1+	26346258
630.31013	1+	139373632
644.28952	1+	36648760
646.3052	1+	440734784
648.32032	1+	1205685376
658.30643	1+	32648466
660.32015	1+	1575817984
662.30026	1+	35908548
674.30021	1+	25943146
676.3150	1+	353706848
690.33073	1+	1360203392
691.34265	1+	69474416
692.31074	1+	160223472
693.82934	2+	7707852
706.32585	1+	1182738304
708.34133	1+	46785852
722.32098	1+	31447870
734.3207	1+	16277587
736.33629	1+	1209738496
741.37726	1+	8713366
750.35227	1+	19067326
764.36765	1+	73759664
766.34303	1+	16638882
778.38322	1+	520961152
780.3622	1+	16865334
792.36304	1+	20601100
794.37795	1+	32839682
817.98717	1+	8394542
820.39458	1+	40719860
832.39373	1+	9731524
833.85264	1+	10407462
834.40976	1+	58530836
838.40345	1+	11987943
850.40398	1+	385052416
852.41987	1+	321583488
864.4197	1+	397038720
866.43544	1+	451904256
871.12129	1+	9201425
880.41574	1+	438398784
882.42996	1+	133968720
894.43029	1+	865696128
896.40951	1+	73341024
896.44802	1+	34610400
910.42491	1+	160181088
926.45661	1+	54645448704
