# N012. [NeuAc(a2-3) Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [[Man(a1-3)] [Man(a1-6)] Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1215.1034

m/z	z	I
487.17943	1+	6351215
487.27069	1+	4202317
487.96684	20+	3662441
488.21016	1+	29977482
489.15837	1+	5985528
489.19412	1+	9704492
490.2255	1+	14423151
490.98074	2+	3259337
491.20966	1+	24164934
494.19699	1+	88575352
495.18096	1+	13701330
498.23082	1+	49884416
498.25322	1+	14530872
500.21007	1+	34414912
500.24628	1+	35360208
500.26873	1+	175012624
501.19185	1+	5864947
501.22949	1+	15943271
501.24169	1+	27270922
502.2843	1+	219065952
503.20968	1+	13445627
503.24877	2+	36840196
505.18965	1+	8107446
512.26865	1+	23178202
513.01031	15+	4185894
513.19139	1+	147050512
514.28445	1+	629635328
515.2097	1+	12586596
516.20536	1+	51160976
516.24143	1+	23461940
516.26401	1+	29553284
516.27687	2+	4092956
516.94003	3+	3801151
517.22595	1+	14009451
518.27877	1+	11850583
519.20481	1+	33198040
519.24103	1+	14709739
520.29474	1+	13124703
526.22624	1+	15741558
527.28064	3+	6155846
527.93099	12+	4441048
528.24173	1+	93929152
530.22176	1+	38874596
530.25701	1+	32615794
530.27967	1+	191375728
531.22818	1+	27071488
531.24044	1+	9917102
533.25664	1+	131994392
541.1864	1+	21791440
542.22096	1+	48616484
542.25743	1+	81852480
544.23668	1+	180097104
544.29589	1+	535047552
545.30384	1+	115956880
546.25187	1+	66408380
546.31046	1+	111457640
547.23703	2+	27478818
547.79006	2+	11203401
548.28965	1+	14164759
552.56214	1+	3377380
556.23668	1+	65785988
557.25346	3+	6545075
558.21599	1+	23247334
558.25231	1+	126444888
558.2733	1+	19528168
559.23416	1+	23794374
560.26753	1+	184200304
560.29006	1+	74247616
562.2231	1+	34455500
562.30544	1+	200848816
565.88151	3+	3461747
565.88468	6+	4740107
568.23357	1+	25065020
569.21656	1+	15334338
570.25228	1+	15680656
571.23466	1+	14226134
572.26793	1+	247593872
573.25115	1+	40609084
573.27671	1+	44558740
574.24723	1+	85782280
574.28296	1+	166306096
575.26765	1+	33594976
577.28239	1+	11263418
578.21862	1+	81310576
579.25372	1+	3867201
582.21438	1+	3847812
582.25014	1+	4627319
584.2868	1+	53842880
586.24716	1+	113905728
587.2296	1+	10094279
588.26296	1+	211252832
589.247	1+	44673336
589.28099	1+	33213666
590.30036	1+	885478400
591.26196	1+	23396160
592.23423	1+	27168686
593.74587	2+	8095877
597.24793	1+	17332320
599.80413	2+	9220658
600.26305	1+	15228670
600.29633	1+	18671906
601.29355	1+	9056536
602.24327	1+	18148458
602.27849	1+	55070636
603.49661	2+	3439007
604.25728	1+	233848336
604.90932	6+	5873503
605.27768	1+	57780460
607.56058	4+	36116704
610.24422	1+	926686400
613.24416	1+	17876148
613.78038	2+	12244705
614.27858	1+	23268646
616.29347	1+	35807540
616.31819	2+	6472905
618.27339	1+	3076792576
619.29295	1+	252965168
620.28866	1+	429320160
621.27315	1+	42376264
621.30907	1+	193487024
624.25959	1+	14115620
625.24457	1+	23115502
627.26014	1+	45262424
629.81063	2+	10392883
630.27343	1+	21583120
632.28515	2+	22093264
632.2889	1+	6185430
632.32232	1+	7802109
632.77729	2+	11054729
633.23779	1+	5825322
633.27341	1+	20177960
633.32006	1+	13972252
634.32671	1+	4317787
635.28818	1+	149033600
637.24275	1+	6013725
640.73678	2+	11844049
642.27098	1+	41943752
642.75167	2+	18898762
644.28883	1+	47368240
644.34783	1+	17079760
645.27162	1+	4918650
646.32678	1+	18242462
646.86079	18+	5093077
647.28568	2+	13090886
647.92921	17+	6107746
648.31894	1+	25053648
649.26819	1+	73803536
649.30196	1+	61007860
651.28313	1+	36340868
651.31952	1+	17873676
652.25517	1+	16714118
654.79501	2+	5398071
655.80135	2+	6202977
657.27026	1+	88412264
658.30477	1+	12874361
659.28534	1+	7189461
660.28372	1+	17118896
660.3427	1+	17589458
662.30299	2+	33211808
662.31693	2+	13198902
663.2836	1+	11160055
665.29933	1+	225840000
667.31451	1+	111470536
667.32028	2+	5663113
669.26796	1+	13351303
670.30461	1+	9344552
671.2773	1+	4648001
672.34275	1+	11321573
674.26483	1+	6947738
674.2992	1+	23594784
674.35776	1+	25107482
676.31456	1+	169926960
677.32423	2+	4473252
677.79059	4+	3947594
679.31489	1+	15848974
684.28177	1+	46291796
684.33716	2+	4232129
684.69066	1+	8391282
684.75544	4+	5042801
684.76948	4+	6697058
684.83353	2+	3299341
686.29977	1+	16028002
686.35844	1+	25153594
688.31693	1+	7925390
688.37312	1+	33690848
690.29418	1+	54382948
690.33038	1+	216993488
691.31161	1+	11430047
692.31007	1+	49346952
692.36807	1+	21995502
693.25846	1+	8439841
693.32702	1+	9839992
694.32367	2+	15989695
695.30934	1+	19539520
699.28146	1+	46282248
699.83467	2+	13016147
699.84219	2+	5439986
702.33038	1+	30380638
702.35331	1+	25904320
703.97462	6+	7082769
704.31006	1+	10191323
704.36898	1+	55269036
705.32747	1+	12428218
706.2908	1+	8966025
707.30587	1+	8816236
707.33971	2+	9508401
707.83644	2+	6689890
709.32494	1+	354128480
714.32863	1+	8219827
714.84382	2+	11184908
716.30788	1+	119467152
716.36877	1+	35332360
717.34019	2+	5628775
718.32492	1+	40309612
718.38356	1+	67402544
718.92176	19+	3222167
719.29979	1+	6807204
720.36095	1+	13223824
721.32579	1+	5127187
723.34054	1+	24897922
728.84661	2+	5707545
731.30674	1+	788401600
732.3614	1+	19944254
734.32549	2+	8520418
734.37892	1+	376021696
734.83725	2+	6893495
737.35621	1+	227599968
739.33562	1+	12167506
741.28131	1+	16543398
741.34008	2+	15750912
742.84907	2+	10625409
743.35743	1+	17000936
745.31422	1+	17889818
745.37296	1+	21563436
747.30208	1+	17571658
747.33865	1+	4361384
747.34009	2+	13257586
747.38864	1+	9274204
748.90503	20+	6095492
749.35349	1+	14306656
750.35074	2+	12298434
750.37487	1+	48761504
751.33672	2+	5549116
752.38944	1+	5047714
753.35088	1+	5232609
756.36316	1+	20961120
756.84107	2+	13449556
756.87969	2+	7245004
757.37324	1+	13752730
759.35146	1+	38706668
761.31682	1+	11016215
761.35019	2+	3977545
761.3678	1+	12676335
762.35139	2+	6009549
762.37553	2+	15125892
763.372	1+	61442184
764.33826	2+	6647405
764.38773	1+	13070943
765.35009	2+	35518368
767.36624	1+	15772851
769.32126	1+	5252249
770.8504	2+	7887490
771.38273	2+	3703076
771.87777	2+	3712723
773.30784	1+	17402188
774.37276	1+	64475708
776.36664	1+	257123296
777.33754	1+	156129520
778.36172	2+	9021516
778.88241	1+	6095441
