# NA2F. [[Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [Gal(b1-4) GlcNAc(b1-2) Man(a1-6)] Man(b1-4) GlcNAc(b1-4)] [Fuc(a1-6)] GlcNAc(b1-0)
# O18
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1134.5587

m/z	        z	I
208.03178	1+	1862958
209.77594	3+	4673875
210.75987	3+	2964331
215.6826	3+	1467924
216.90037	2+	1513091
217.19473	1+	1526563
218.21819	2+	1735304
218.52778	1+	1618775
219.06044	2+	1679730
219.12264	1+	7747802
220.2297	2+	1899206
220.61356	1+	1705482
221.63396	2+	1587178
221.78223	1+	1767608
222.78448	3+	3213021
223.72198	2+	1767783
224.12566	1+	18848510
224.63118	2+	3104478
225.4403	1+	1783361
229.80932	2+	1533003
230.52892	3+	1850365
231.86136	3+	1665637
234.78677	3+	2408588
236.22262	1+	1600107
236.24996	2+	2589637
236.43917	2+	1840739
237.38115	3+	1601383
240.60225	2+	2559643
241.46109	1+	1619189
243.36082	2+	1501169
244.11774	1+	2219760
244.22209	2+	1689593
245.9962	2+	1898966
246.13355	1+	24101606
246.61909	3+	1597907
246.86724	2+	1551896
248.0682	1+	2052691
248.73719	3+	2229796
249.67225	3+	1547609
250.10471	1+	3621503
251.11946	1+	1526200
251.27792	1+	1628021
251.3468	2+	1809458
251.81866	2+	1673948
252.08777	3+	2020315
252.12053	1+	7833129
253.09958	1+	3006107
253.7673	3+	5799134
254.07927	1+	1713018
254.63262	2+	1690977
255.756	3+	2006288
256.14049	1+	19221614
257.09953	1+	22145754
258.10742	3+	4126918
258.25048	2+	1530852
259.11518	1+	54836376
260.14912	1+	2636225
261.39545	1+	1761165
262.67964	1+	1715654
262.85605	3+	1623613
264.84202	3+	1698005
265.76591	3+	1965749
266.29702	2+	1901893
266.69731	3+	1711506
269.12331	1+	28674626
270.13111	1+	16995456
270.41623	2+	5887424
270.89083	1+	1550464
271.11517	1+	14154948
272.74805	1+	1674677
276.24637	2+	1596769
277.8025	3+	1609352
281.05112	1+	34459592
282.7135	3+	2966136
286.45179	3+	1693658
286.77384	3+	3595273
288.80329	3+	2625065
292.5498	3+	1810756
292.55069	1+	1778142
293.17457	2+	6353957
293.55533	2+	1707842
293.72837	2+	1900552
294.71847	2+	1619187
295.55597	2+	1637574
296.08214	3+	1733805
296.11041	1+	18743062
296.97821	1+	1770644
299.66102	2+	1834607
299.95407	3+	1780708
299.97749	1+	3165373
300.14482	2+	4514062
300.64775	2+	3073141
300.81474	3+	2361861
301.12568	1+	13389307
301.55568	2+	1869108
301.76933	2+	1688845
301.81475	1+	1971796
302.06749	2+	1884204
302.23447	3+	2284003
302.31529	2+	1797372
305.11317	3+	1666354
305.74327	3+	1644895
306.3282	3+	3090157
307.03362	3+	1607300
307.98759	3+	1783362
308.34372	1+	2514727
313.61954	1+	1622757
314.1216	2+	2233612
314.23059	1+	1727809
317.32016	2+	1691859
317.36515	2+	1671547
317.53169	3+	1824054
322.76444	1+	1967089
323.09594	3+	1682743
324.14096	2+	4798075
324.68346	1+	1670960
325.39944	2+	1968091
326.6647	3+	2411856
326.77156	3+	1744084
326.83315	3+	2590062
327.80281	3+	1815037
328.6983	2+	1709426
329.00703	3+	1931102
329.07281	2+	1717243
329.15703	1+	132204640
330.55482	1+	1665812
330.99565	2+	1709525
331.16393	3+	1855051
331.66598	2+	4354132
332.26552	2+	1688153
332.33479	2+	1683598
335.36849	1+	1885046
337.63724	3+	1828308
339.75423	3+	1671623
340.51587	2+	1950359
340.66974	1+	1755187
341.15625	2+	5724194
342.11607	2+	5747772
342.65605	2+	2163901
343.17257	1+	4103138
343.61576	2+	2086307
344.1209	3+	2698018
344.17086	1+	2370898
344.32823	2+	1982486
345.17815	3+	1679865
346.18605	1+	10833768
347.47035	1+	1921121
350.45196	1+	2091247
351.00651	2+	2680975
351.16853	1+	2356306
351.84016	3+	4120265
352.00908	1+	1862362
352.65778	2+	2193037
355.06997	1+	16550127
356.56518	2+	2184281
357.15192	1+	28986898
357.62534	2+	2049211
358.1863	2+	8264239
359.86408	2+	1726223
360.05664	1+	1690484
360.17844	1+	5942265
362.18217	1+	32780326
363.74846	2+	1761123
364.17299	1+	16117723
365.36171	2+	1741732
366.18859	1+	12474181
366.34038	2+	1789215
367.17564	3+	1801948
368.20498	1+	3340669
368.34461	1+	7163713
369.09108	1+	1986093
369.51962	2+	1744479
370.14715	1+	12410153
370.18487	2+	5264915
370.35935	1+	2680142
370.68981	2+	1911471
371.1304	1+	1778740
371.1557	3+	4119928
371.16758	1+	10880961
373.14628	1+	2621933
374.39052	1+	3200479
374.86318	2+	2386639
375.14559	1+	1752974
376.50134	3+	1732794
376.85692	2+	2040693
378.18614	3+	35850596
378.35383	1+	41638388
378.688	2+	12550305
379.35849	2+	2958786
379.52537	1+	2615061
380.02558	2+	2526318
380.16869	1+	5391207
380.18904	3+	1884277
382.18432	1+	9817378
382.32308	1+	15712688
383.99742	1+	1852228
384.19919	1+	17107688
385.66679	2+	1836018
386.18122	1+	17369980
386.20351	1+	27201988
387.32163	2+	1874214
388.19732	1+	4833397
390.14924	2+	3442569
390.21215	1+	5898630
396.19925	1+	15467783
396.61435	1+	1862601
397.14758	3+	1710891
397.20727	1+	10662569
397.61194	2+	2098701
398.17848	1+	13031868
398.20356	1+	10631836
398.21497	1+	11315547
399.16259	1+	11421800
400.15878	1+	7361902
400.3251	3+	1747285
401.17828	1+	6508847
402.21287	1+	8323541
403.22057	1+	3527407
403.86002	3+	3267044
404.94181	1+	1765532
405.64822	2+	1766215
406.14494	1+	7955650
407.5926	2+	1882007
408.8131	3+	1923479
409.29247	1+	11415601
410.17867	1+	10685982
412.19421	1+	21255134
413.17826	1+	7846799
414.21056	1+	28844448
414.2459	2+	2205095
415.19385	1+	190015744
416.16577	1+	26788200
416.21409	1+	93907272
417.17311	1+	21424798
418.20712	1+	21283552
418.33679	3+	2009491
419.18851	1+	1864300
420.16046	1+	28140112
420.22296	1+	12133887
422.17961	2+	2265730
422.20139	1+	1928725
424.1942	1+	13250259
424.71609	2+	1782604
424.78416	2+	2678818
425.28731	1+	3057744
426.17338	1+	8502381
426.2098	1+	56227364
428.19008	1+	23417638
428.21414	1+	142587360
428.22543	1+	145194640
428.6714	2+	4703029
429.08815	1+	8203019
430.20478	1+	249152720
431.18814	1+	3937736
432.22281	1+	687053888
433.16806	1+	13191376
434.22953	1+	22054622
434.68004	2+	3231678
436.2177	1+	13479647
436.24276	1+	22283516
440.18911	1+	23664088
440.43878	1+	2070665
442.20477	1+	77087144
443.21261	1+	59518756
444.20882	1+	42722120
444.22036	1+	33078268
445.22913	1+	5878289
446.1785	1+	6045894
446.20238	1+	5548110
446.23858	1+	13249281
448.21871	1+	10525962
450.23348	1+	98839512
452.24734	1+	2826207
454.20479	1+	21425720
454.25338	1+	6910150
454.4534	1+	2464263
456.22037	1+	139008992
458.22464	1+	281657440
458.236	1+	161562976
459.23284	1+	30407106
460.21529	1+	59256388
460.50096	1+	2773586
461.16308	1+	1790912
461.1981	1+	2423339
461.2236	1+	2197207
461.22508	2+	19960106
461.73115	2+	5528495
462.23348	1+	7826761
462.86509	1+	1972128
463.55832	2+	1765089
464.24898	1+	1422609024
465.24879	1+	25426708
466.25559	1+	36632952
467.23681	1+	1833125
467.73824	2+	2007120
468.21933	1+	2356818
468.86665	3+	2644323
468.91011	3+	3802826
470.19967	1+	38847208
471.99451	2+	2378760
472.21526	1+	343068800
474.01467	2+	2311758
474.16477	1+	9213523
474.21952	1+	46311660
474.23095	1+	32871698
476.23523	1+	219172496
477.23483	1+	4146368
478.22829	1+	6577879
478.24194	1+	6976673
478.26473	1+	15390734
479.68111	2+	2259548
480.24393	1+	22563938
484.44008	1+	1806262
484.5006	1+	1935701
486.23097	1+	1100345088
487.23877	1+	69823336
488.21023	1+	42510268
488.24656	1+	33093830
492.20888	1+	43137540
494.25935	1+	13766103
498.21802	1+	11726284
498.23067	3+	2262871
499.25226	1+	3479818
499.7588	2+	1914772
500.21092	1+	4889640
502.22586	1+	330843648
502.7778	3+	2066558
504.23006	1+	160609600
504.24147	1+	69236984
505.2273	1+	3085192
508.23878	1+	12576744
512.24677	3+	2057212
513.24165	1+	4405060
513.2545	1+	18853924
513.27952	2+	2014650
515.04326	2+	1991866
515.24611	1+	37524460
