# LNFP 1. Fuc(a1-2) Gal(b1-3) GlcNAc(b1-3) Gal(b1-4) Glc(b1-0)
# O18
# Metal: Na
# Method: EED
# Permethylated
# Precursor: Na+ 1102.5498

m/z	        z	I
212.59101	3+	2150639
212.661	2+	1873458
213.50661	3+	1793602
216.77246	3+	2049229
217.19538	3+	2708315
217.89021	1+	1885821
220.20246	3+	2197169
220.71439	2+	11654906
223.4592	1+	1995618
225.38201	2+	1968967
227.41728	3+	1975547
227.48094	3+	2171299
227.55807	3+	2214559
228.12303	3+	5502008
228.52188	3+	2029124
231.61695	1+	2290801
239.92258	3+	2110186
244.40446	3+	2172819
249.30602	2+	2074041
249.91317	2+	2287456
254.06147	1+	2261606
255.80307	2+	2100254
256.62551	1+	2315427
258.22141	3+	2051679
260.53237	2+	2127906
265.97661	2+	2022595
266.11212	3+	2357539
266.88212	1+	2079334
270.37997	2+	2179379
270.59009	1+	2124048
272.52467	3+	2077166
277.24237	2+	2352984
282.45426	3+	2081650
282.47232	3+	2096919
282.80484	2+	2036471
289.11469	1+	5693799
289.88031	3+	2216630
290.79231	2+	2187609
290.9824	3+	2049060
291.5261	1+	2156835
291.95566	3+	2257318
292.11026	3+	2776811
296.51306	3+	2072347
296.60043	3+	2376521
296.84575	2+	2326185
303.13681	3+	2144145
303.90141	2+	2284409
305.46923	3+	2284685
306.79594	2+	2122251
310.10293	2+	2453059
311.89278	3+	2261757
312.25108	2+	2649556
315.3534	3+	2282013
317.26619	2+	2466105
317.86901	3+	2443685
328.99853	3+	2135305
329.42482	3+	2418321
332.14529	3+	2294296
332.28029	1+	2802383
332.59849	2+	2162836
334.35866	2+	2245471
334.72174	1+	2244252
337.48336	3+	2451116
338.12481	2+	2152229
343.58689	2+	2504101
346.16511	3+	2121588
351.06432	3+	2286065
351.3959	2+	2258934
355.06896	2+	3690032
357.91965	3+	2405128
360.46384	2+	2143775
363.91737	3+	2221468
365.02809	2+	2784378
366.63217	2+	2489619
368.01092	3+	2173351
369.61596	1+	2773838
370.29895	2+	2166123
370.43979	2+	2141384
370.93398	1+	2223848
371.16843	3+	2324668
372.21441	2+	2227066
372.37625	3+	2701245
379.16077	1+	2302377
381.61662	1+	2586854
384.99501	1+	2298328
388.22767	1+	2208703
401.17813	1+	65820580
401.82051	2+	2366212
411.03675	3+	2567291
417.17382	2+	2272951
417.51001	1+	2745037
421.19364	3+	2261764
425.51509	2+	3755983
426.17423	2+	2275254
433.20436	1+	42770552
443.10584	3+	2290546
443.59471	2+	2350730
447.20868	1+	84602680
447.95131	3+	2303070
448.68981	2+	2465209
451.33789	2+	2290629
455.23133	3+	2264072
459.72699	2+	2512707
460.37609	2+	2400193
463.20362	1+	17121202
465.22061	2+	32660302
466.94971	2+	2522573
467.35535	2+	2785932
468.16851	2+	2275983
471.47672	1+	2337598
472.21551	1+	14416883
477.82124	1+	2470815
478.7317	2+	24650598
483.49369	2+	2327900
488.21012	1+	15628851
491.67463	2+	2354944
493.21418	1+	86095624
494.06909	1+	2335861
494.1805	1+	2525593
498.02229	2+	2336566
520.28887	3+	2443081
530.25712	1+	9323395
551.27524	2+	6687202
555.87362	1+	2520748
560.09658	1+	2897863
565.91219	2+	2381890
566.68004	2+	2491839
589.28344	1+	3071411
597.27446	1+	2446808
605.14102	2+	2463436
618.29881	1+	23105606
618.30958	1+	4303026
620.31403	1+	136268640
621.29798	1+	42323132
628.29414	1+	2862518
630.3094	1+	12259475
632.31391	1+	7998457
632.32526	1+	13708858
633.79806	2+	2736693
635.81454	2+	4052414
637.54689	1+	2792715
638.33831	1+	22644688
650.32432	1+	23798778
653.79137	2+	2666292
660.32003	1+	131377512
662.32444	1+	135879872
670.35282	1+	4691319
675.00103	2+	2598126
676.31513	1+	104312912
692.33506	1+	263046800
708.3309	1+	21746898
734.35722	1+	14355192
738.34067	1+	54867508
752.35629	1+	31252394
761.02621	1+	3262146
764.36716	1+	8154138
794.36709	1+	7721138
805.81851	1+	2966077
822.39846	2+	3146667
824.41322	1+	3765368
834.40976	1+	31524040
852.40891	1+	8615074
854.42407	1+	81410176
866.39879	1+	17549890
866.42377	1+	14107676
880.4150	1+	24791688
882.4195	1+	31997210
896.43481	1+	29855490
898.41398	1+	9779006
912.42923	1+	27840972
942.44018	1+	104809936
952.47208	1+	38369108
970.47124	1+	10369085
979.13881	1+	3155331
984.48679	1+	21914626
1026.49861	1+	39994956
1028.51391	1+	21948448
1038.50856	1+	11162541
1040.50816	1+	23350206
1040.52632	1+	48517640
1050.95369	1+	3475018
1054.12099	1+	3438991
1056.50936	1+	56888992
1070.52331	1+	139556288
1072.50365	1+	8818405
1086.51967	1+	19675680
1102.54979	1+	7394723328
1106.02865	1+	4147127
1107.56629	1+	4202703
1309.50465	1+	3851918
1335.13655	1+	4466347
1632.21436	2+	4576962
1965.73099	2+	9625637
1978.90763	2+	5457546
1979.76674	1+	10166957
2290.58117	1+	5147330

