# LNT. Gal(b1-3) GlcNAc(b1-3) Gal(b1-4) Glc
# Metal:Na
# Method: EED
# Permethylated
# Precursor: Na+ 926.45654


m/z	z	I
207.03208	1+	135526912
208.0317	1+	13628936
212.60792	2+	5345806
216.98853	3+	6510131
220.20862	3+	5519824
222.43101	1+	5357691
225.1054	3+	5758775
232.28835	3+	5317821
233.76756	2+	5676721
237.02202	3+	5230284
241.10422	2+	57596028
245.78244	1+	8983663
246.16906	2+	6770492
246.23392	3+	7143956
252.12053	1+	36058768
259.11507	1+	145233088
261.29027	3+	5547388
261.91002	2+	5265839
268.11546	1+	541735360
269.18537	2+	6539350
269.24806	3+	17662088
269.58439	3+	31759798
273.62056	2+	5339920
281.05105	1+	227823760
281.75597	2+	5516432
284.85377	2+	5813117
287.11004	1+	112670416
288.03532	1+	5986988
293.47536	3+	8936669
295.33598	1+	7073377
306.32806	1+	9433935
308.819	3+	281239808
311.43613	2+	5317452
311.64804	3+	5208400
314.58293	2+	6265591
315.14137	1+	29143140
323.13723	1+	6021115
323.51859	1+	5753282
324.48407	2+	6587624
341.15701	1+	48243772
346.35995	1+	5888025
348.30235	1+	6110331
352.31451	2+	5938860
355.06987	1+	119334448
356.06935	1+	29866246
359.79618	1+	5784589
364.38669	2+	5394273
365.62008	2+	5481908
368.34373	1+	37242488
370.35958	1+	23079806
380.90406	1+	5693219
382.32293	1+	21866850
386.39011	3+	7844567
388.19391	3+	5332355
391.15716	1+	5799175
400.40561	2+	6928189
401.17821	1+	36827612
406.08262	2+	6169286
412.19423	1+	72114528
415.19383	1+	337526432
419.21306	3+	6012299
421.35078	3+	5794642
423.86539	3+	5530161
424.19419	1+	48048240
425.47624	1+	6036284
426.42199	1+	7391007
426.71763	2+	6102488
428.22558	1+	23519682
428.43754	1+	8578544
431.18883	1+	78773768
432.21954	4+	6462892
432.70178	2+	9690460
440.18934	1+	39254180
442.20485	1+	43528436
444.46829	1+	6257784
445.2045	1+	1010164800
447.18368	1+	38056320
453.70313	2+	13659668
456.22136	1+	48481564
456.46903	1+	6912348
458.23608	1+	199053440
459.71734	2+	11069715
459.99893	2+	7022124
461.19937	1+	231760768
463.21492	1+	1153169280
463.22901	2+	38331992
464.24906	1+	90766160
470.19974	1+	55388772
472.21537	1+	129042056
474.23097	1+	40922220
482.83577	3+	6010852
486.23092	1+	1484058880
488.21043	1+	47071752
491.2099	1+	1152295552
502.22591	1+	655313216
503.10664	1+	27869052
504.24154	1+	37823820
510.51536	2+	8643647
534.87044	2+	6153646
535.01532	2+	6216145
535.06302	1+	5934058
542.25736	1+	56040644
545.25593	2+	15320634
556.27288	1+	38828744
558.25249	1+	10850363
560.26777	1+	134278480
586.28404	1+	40054248
588.26355	1+	31854258
590.2784	1+	119326728
598.28405	1+	19644028
600.29924	1+	16632802
603.2629	1+	9120492
614.27861	1+	30849060
616.29457	1+	365783296
618.30974	1+	1482622720
619.29385	1+	477107680
628.29462	1+	45931244
630.31018	1+	269389088
634.30453	1+	59152796
646.30498	1+	140310848
648.32004	1+	135836672
658.3052	1+	37780244
660.32036	1+	2202261504
662.30024	1+	34835484
662.33597	1+	36198564
664.31479	1+	17811604
668.34866	1+	42158196
673.50294	1+	6535512
674.30002	1+	22742158
676.31519	1+	327366880
690.33076	1+	1740255360
692.31004	1+	180655360
706.32586	1+	1134151808
708.34417	2+	36387636
736.33633	1+	803420096
741.85341	1+	6823163
750.35215	1+	37435684
764.36746	1+	58056600
777.37637	1+	81257912
778.38328	1+	500389504
780.36313	1+	13935176
790.38346	1+	23238466
792.35987	2+	17865492
794.37822	1+	127479280
808.3944	1+	23044006
820.39482	1+	36887348
822.40973	1+	30107332
825.39644	1+	70229816
834.40686	2+	35169372
850.40406	1+	464023328
852.42006	1+	344084128
864.41954	1+	382409024
865.43535	1+	8302902
866.43579	1+	372646848
868.41406	1+	17791650
880.4144	1+	419844960
882.43064	1+	167839504
894.43057	1+	847752064
896.41025	1+	55492576
910.42499	1+	153128832
924.44754	2+	50071588
924.92998	2+	13089202
926.45654	1+	49420148736
