# Sialyl Lewis X. [Neu5Ac(a2-3) Gal(b1-4)] [Fuc(a1-3)] GlcNAc
# Metal:Na
# Method: EED
# Permethylated
# Precursor: Na+ 1053.51959


m/z	z	I
207.96781	3+	1416978
216.18747	1+	1617891
245.09981	1+	3015953
252.66261	5+	1966390
259.09928	2+	1761184
259.37958	2+	1957512
264.85853	3+	2027361
269.72787	1+	1834736
292.23393	2+	1897911
292.27496	2+	2273524
294.22496	1+	1878839
302.12852	1+	1888774
303.7506	3+	2397134
303.76417	3+	2235823
311.16077	3+	1836447
315.1436	1+	6089174
317.00255	1+	1960016
330.80997	1+	2005258
332.45491	2+	1901896
351.17341	3+	35602976
352.6728	3+	1992257
355.07001	1+	8239701
356.1681	1+	659179392
358.17437	1+	6412043
360.11657	1+	1935152
360.17794	1+	10563872
360.74036	2+	2094601
362.17869	2+	2020709
364.41848	2+	2088534
366.18781	2+	2560985
367.04727	2+	2102204
368.16811	1+	10055153
369.76507	1+	1950937
373.11035	1+	2026548
376.19689	1+	9965588
384.16288	1+	2181874
387.30483	2+	2273033
393.83277	2+	1937650
395.6772	2+	23922644
396.70471	2+	2107466
398.17865	1+	43291432
398.54309	2+	2084585
399.18652	1+	14513862
400.62621	2+	2379904
408.1928	2+	2492629
410.17884	3+	2016033
412.19434	1+	18722642
414.21003	1+	11432773
416.18908	1+	8002600
424.19433	1+	12166386
424.20612	2+	46675644
425.48983	2+	2069565
426.20997	1+	11588377
432.67242	1+	2145674
435.19824	2+	9045407
439.69052	2+	4818266
440.48691	2+	2015548
441.70241	2+	8104618
442.20489	1+	9223593
451.7034	2+	42724588
454.20571	1+	5824650
456.22054	1+	84463384
457.21151	2+	19880718
457.87435	3+	2547262
458.71151	2+	6973700
470.19965	1+	12052321
472.18884	3+	2255453
472.21537	1+	11869923
472.21582	2+	189251344
473.2190	1+	4085727
474.23117	1+	12561285
478.72062	2+	6787389
481.25546	2+	2940141
482.22984	2+	42571956
488.22955	2+	6640686
490.22591	1+	12266176
494.73347	2+	8494273
495.23798	2+	7678062
497.25327	2+	31050748
502.2260	1+	182734784
503.23384	2+	4051249
510.74669	2+	5271303
514.26158	1+	2984307
515.23485	1+	2596744
530.22074	1+	6936223
530.25742	1+	21639500
534.0887	1+	2529092
542.25778	1+	18370376
556.23715	1+	13794109
556.27287	1+	33375904
557.35307	2+	2230537
558.25276	1+	33110380
560.26801	1+	43566728
570.28874	1+	5632020
572.26804	1+	54628320
574.24709	1+	19739432
574.28346	1+	52580516
586.28364	1+	9093982
588.26288	1+	38779020
600.29913	1+	14807824
602.27867	1+	10272154
604.25749	1+	33348400
604.29399	1+	10890773
616.29449	1+	31279430
618.27343	1+	275593888
619.28404	1+	9609993
620.28909	1+	107745880
630.30973	1+	413162688
632.28971	1+	11990862
634.30484	1+	10978946
644.28615	2+	3469525
646.30467	1+	63452964
660.3200	1+	127964832
662.29958	1+	133307816
676.31571	1+	182363472
678.33066	1+	717227392
688.31587	2+	5979806
690.3307	1+	25824174
694.29608	1+	3937086
713.51296	1+	2346054
732.34161	1+	5159903
748.33646	1+	40313532
755.32071	1+	15666053
757.37272	1+	4098064
760.19383	1+	2397788
762.3519	1+	83380040
764.33101	1+	73885504
773.36816	1+	9314409
775.34655	1+	7258034
776.36758	1+	5918108
787.38439	1+	4096553
789.3990	1+	10992978
790.34666	1+	75977160
805.39488	1+	14593355
817.39374	1+	18137030
825.42188	1+	8627314
831.37387	1+	9588754
833.3888	1+	26897506
847.40451	1+	145256416
861.42023	1+	7598469
863.40074	1+	7877986
865.41494	1+	11514935
876.38321	1+	9550951
891.43059	1+	9922536
893.40989	1+	83346032
897.29087	1+	3016455
905.44618	1+	63308248
907.42482	1+	5866337
919.4272	1+	4153332
921.44108	1+	21870992
933.44196	1+	7322180
933.47752	1+	18694620
935.45673	1+	7963267
937.43791	1+	4937985
947.45629	1+	12636615
949.43537	1+	39242208
949.47099	1+	31545850
961.4716	1+	5319120
963.48801	1+	68024848
972.40308	1+	2863590
977.46816	1+	72533152
979.48311	1+	362328064
991.48246	1+	56359684
993.46376	1+	23688968
993.4988	1+	32762462
995.47786	1+	88689896
1007.47712	1+	49354068
1009.49414	1+	40545460
1021.49316	1+	209513408
1023.47561	1+	8223374
1023.51421	1+	9196529
1037.48828	1+	54142912
1053.51959	1+	10442343424
