# MalHex. Glc(a1-4) Glc(a1-4) Glc(a1-4) Glc(a1-4) Glc(a1-4) Glc(a1-0)
# Metal:Na
# Method: EED
# Permethylated
# Precursor: Na+ 1293.62976

m/z	        z	I
207.03081	1+	59262240
211.83517	4+	3883139
213.33529	5+	3824151
216.89787	2+	4479686
217.32507	1+	4343469
248.98655	1+	4524891
251.42066	2+	4395045
251.95898	1+	4057738
270.00991	3+	13783870
270.07372	1+	11107563
271.3383	3+	4469182
271.81151	3+	5046046
274.80108	1+	6232875
278.04461	4+	5007536
280.3115	4+	4894111
280.38458	1+	4251480
281.05004	1+	132508432
281.79978	4+	14049839
290.97012	3+	4098029
298.55423	4+	4423742
300.99034	1+	4120679
301.7277	3+	4672413
302.07044	2+	4462909
302.80365	4+	4186047
305.15847	1+	44351148
310.40624	2+	5013918
312.88516	2+	4936112
316.1115	5+	9981221
316.47141	2+	4333541
318.7783	2+	4373233
321.50214	1+	4200810
326.53914	3+	4454102
328.25751	2+	4310916
329.28078	2+	4375721
334.38529	1+	4651626
336.37468	3+	5346509
336.40816	3+	4612032
337.87602	3+	4189667
339.22766	2+	4444014
339.87215	1+	4703893
343.13549	1+	11732998
353.15608	3+	6514275
356.49201	1+	5027758
359.16918	1+	9018351
362.39014	1+	8570222
368.34301	1+	14738188
372.37428	1+	8734774
377.92004	2+	4848050
383.16682	1+	13524964
384.27825	1+	4632267
385.18274	1+	42036224
387.19823	1+	25421590
390.42145	1+	7252102
391.19562	1+	64046728
394.73485	1+	5272113
399.16216	1+	33098960
401.17759	1+	43383028
404.43704	1+	6057455
410.38935	1+	5076911
415.19331	1+	125016976
416.3153	1+	5684107
423.22193	1+	96387944
429.08751	1+	30200234
429.17263	1+	42894504
431.18818	1+	849037312
431.20956	3+	110467880
432.52859	1+	5162624
440.25937	2+	4805240
442.11765	3+	4699656
445.16764	1+	29127294
445.20398	1+	175295248
447.18327	1+	28106212
459.56113	2+	4851305
460.27658	1+	4591394
461.19892	1+	122517032
461.87382	3+	7364850
463.21457	1+	86116352
466.45263	1+	6105085
467.23833	2+	4898035
475.17819	1+	36444284
475.5295	1+	4910106
476.85721	3+	7352243
483.24308	1+	53534804
488.5314	1+	8379775
491.20943	1+	520321856
497.22867	2+	8977335
501.23041	1+	15494631
507.85281	2+	4927944
509.25878	1+	44009652
512.53227	1+	8784894
513.24223	2+	53057524
519.24092	1+	49203980
523.23486	3+	14777856
528.29249	2+	4986013
529.25518	2+	18783540
532.24909	1+	368936224
533.25652	1+	102383096
539.79508	2+	5196639
543.31128	1+	5670998
547.23585	1+	26242120
559.26592	2+	63255936
561.25232	1+	12447402
570.23863	1+	5326595
573.25193	1+	24411940
575.26726	1+	34642248
579.26396	1+	4886542
585.88424	1+	5189058
587.26785	1+	28872348
589.24713	1+	18718536
589.28344	1+	56478056
591.2623	1+	25090864
591.29875	1+	23313930
592.76287	1+	5498074
593.32842	2+	4921953
603.26254	1+	52020148
605.27841	1+	123255944
619.29388	1+	363468960
621.27287	1+	72044720
621.3092	1+	146823184
627.32213	1+	126502712
633.27355	1+	54914804
635.28854	1+	666181888
646.81496	2+	9532323
649.30426	1+	456278816
650.81593	2+	19313024
651.28351	1+	112928744
651.32048	1+	20577686
656.8025	2+	5934617
665.29986	1+	363704640
667.31472	1+	157564832
679.27915	1+	28298198
687.34339	1+	129367688
695.30993	1+	770071040
721.32603	1+	8073102
723.34116	1+	67816936
736.34789	1+	148703440
737.35735	1+	171000864
751.33688	1+	18336696
753.35153	1+	16018962
761.3572	1+	11668608
763.37256	1+	15331631
773.20968	1+	5597590
777.35258	1+	17895954
779.36786	1+	34291292
783.36316	1+	8672246
783.77954	1+	5973145
791.36877	1+	18438822
793.34733	1+	16573833
793.38417	1+	53244452
795.36237	1+	23912478
807.36297	1+	46899176
809.37801	1+	170696544
823.39458	1+	479014400
825.37327	1+	63327664
825.40931	1+	140717520
831.1879	1+	5993413
837.37396	1+	32123242
839.3886	1+	593102208
853.40408	1+	429647808
855.38358	1+	240097632
869.3991	1+	531232832
871.41531	1+	135388480
883.3795	1+	14676771
899.40967	1+	811557952
919.43176	1+	6137988
922.16235	1+	5990841
927.4411	1+	34143540
941.45684	1+	137918368
948.76535	1+	6323844
956.4416	1+	10629619
967.47355	1+	7080177
981.4539	1+	8525470
997.48368	1+	36190996
1011.46327	1+	17482662
1013.47743	1+	101146536
1027.49281	1+	335935136
1029.47341	1+	29892706
1029.51099	1+	65278984
1041.46959	1+	14467580
1043.4883	1+	303713952
1057.50359	1+	299437056
1059.48322	1+	120659712
1073.49855	1+	375403968
1075.51873	1+	22457064
1103.5092	1+	343288448
1129.52651	1+	8389412
1131.53992	1+	20926206
1145.55592	1+	162972192
1161.55213	1+	14792362
1187.56824	1+	17055004
1201.58085	1+	16854636
1217.57869	1+	91415584
1219.59348	1+	48383668
1229.57633	1+	8471297
1231.59372	1+	189703664
1233.609	1+	213788800
1247.58768	1+	262266000
1261.60352	1+	431973024
1277.59799	1+	91918272
1293.62976	1+	19765481472
