# LNFP 2. [Fuc(a1-4)] [Gal(b1-3)] GlcNAc(b1-3) Gal(b1-4) Glc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: Na+ 1117.5835

m/z	        z	I
208.09438	1+	30520990
211.09404	1+	69666496
214.10736	1+	41815352
220.09441	1+	51389848
225.07334	1+	36964328
227.08898	1+	295694336
228.13166	1+	217150528
229.10465	1+	114409808
232.11792	1+	10391755
236.08934	1+	99519296
236.16028	1+	47384972
237.10973	1+	32271950
238.10498	1+	79182576
239.12512	1+	20156568
241.10465	1+	30679324
243.0839	1+	55935364
251.12535	1+	19320428
252.08425	1+	28089756
253.10467	1+	19839944
258.14225	1+	222833904
259.1152	1+	259030272
259.15006	1+	44499464
267.12027	1+	31501526
268.11559	1+	77856368
269.06954	2+	12748794
271.07885	1+	29838910
271.11522	1+	53327724
274.13717	1+	51538076
276.15283	1+	260145024
278.1422	3+	16754866
295.15168	1+	20720828
296.14693	1+	33958948
302.15231	2+	9154309
302.16419	2+	12796654
303.82993	3+	19690010
304.14774	1+	749313984
309.16157	1+	16587256
315.14161	1+	10392108
319.16487	3+	16594160
323.1466	1+	15672370
325.16233	1+	26702564
327.14156	1+	21675862
329.15735	1+	18812516
330.16351	1+	15156397
330.6642	2+	15902432
332.17912	1+	89531632
338.67824	2+	12567961
339.18257	2+	19055178
340.17317	1+	19707060
341.15763	1+	16307922
343.13649	1+	16413413
345.15264	1+	9831250
350.15759	1+	24299608
351.17791	1+	12606550
352.1732	1+	54346420
356.1681	1+	47757220
358.19483	1+	174632048
360.17409	1+	56412360
361.17753	2+	24866712
364.17329	1+	26159070
366.18891	1+	41298776
368.16813	1+	70775456
368.2045	1+	15039316
369.15231	1+	26385254
371.1683	1+	19261034
371.85605	1+	17335834
372.1988	3+	19043234
372.87185	3+	506809280
374.18975	1+	80419160
374.21751	1+	26759758
375.16326	1+	36489152
380.16815	1+	33228870
382.18419	2+	50815532
383.16851	1+	11510453
384.19949	1+	43823836
385.18407	1+	19143664
386.18979	1+	31848236
388.20545	1+	79416520
394.18383	1+	100266736
396.1631	1+	35444976
396.19947	1+	102635056
398.17874	1+	85215856
398.21515	1+	58888412
400.19443	1+	37911432
400.20544	1+	42494160
402.22087	1+	210662016
404.20035	1+	115553016
408.16314	1+	13558028
410.17873	1+	97396688
412.19443	1+	81001208
416.20039	1+	66619392
417.21035	1+	18522966
418.21601	1+	159720096
419.18964	1+	40555068
420.19537	1+	27782600
424.19439	1+	52311860
425.21948	2+	56625452
426.17368	1+	42489896
426.2101	1+	254582000
428.18935	1+	46686288
430.21599	1+	57284192
431.18973	1+	67581688
432.23167	1+	1303114752
432.71428	2+	23796128
433.23799	1+	17884832
434.21098	1+	40720996
440.18938	1+	405663648
440.22519	2+	24280402
441.23267	2+	287433856
442.20497	1+	3911984896
444.2112	1+	70230928
446.21096	1+	67752224
448.22661	1+	290103392
450.24229	1+	86745936
451.23643	1+	26972062
456.22071	1+	39800380
456.23796	2+	488738144
461.20024	1+	19334426
462.24222	1+	2496670464
463.22763	2+	148016384
464.2216	1+	139034848
464.25791	1+	76434256
472.21566	1+	240796768
476.22245	1+	66336472
478.23715	1+	997879296
480.25275	1+	3123666688
482.25944	1+	55280372
485.24118	2+	23048348
486.24851	2+	1591318016
492.21652	1+	26140608
492.24848	2+	13974166
494.23216	1+	37429052
496.2184	1+	29213930
498.23134	1+	25030094
498.24848	2+	21980472
500.21058	1+	73558544
502.22612	1+	34544736
506.23217	1+	47869820
508.24774	1+	2952978432
510.25457	1+	55154864
512.24788	1+	13037215
516.20548	1+	29713068
521.22062	1+	31039370
524.24729	1+	27438726
526.263	2+	26456536
528.24235	1+	26404568
528.76388	2+	13224850
547.29513	1+	16372644
549.27488	1+	38790628
556.27441	1+	19264414
558.28953	2+	24751306
558.80107	2+	21532916
559.29371	2+	29387762
567.27735	2+	17434124
572.26848	1+	57415376
577.30572	1+	96877824
584.26842	1+	33350624
