# CelHex. Glc(b1-4) Glc(b1-4) Glc(b1-4) Glc(b1-4) Glc(b1-4) Glc(b1-0)
# Metal:Na
# Method: EED
# Permethylated
# Precursor: Na+ 1293.62964


m/z			z	I
207.03092	1+	127986664
257.09829	1+	62460996
269.1173	2+	8763657
281.04992	1+	278687456
282.04962	1+	48598636
287.10893	1+	102528032
337.82995	3+	11061886
347.83366	3+	19775302
353.1561	1+	32340684
355.06893	1+	121604616
355.1717	1+	39199020
357.1509	1+	14408968
357.83199	3+	7686208
358.91738	4+	12288015
369.15106	1+	39854068
371.16681	1+	60950896
381.85774	3+	16376335
383.1667	1+	60128596
385.14599	1+	48850412
387.16166	1+	9629084
391.19539	1+	104708376
399.16153	2+	133545544
401.17729	1+	129663128
403.15593	1+	8349525
403.1931	1+	16715823
405.86613	3+	11231556
411.54478	2+	11475179
413.17822	1+	33137674
415.193	1+	737976192
417.17235	1+	52534256
417.20858	1+	32740694
420.87765	3+	18717132
421.21321	1+	8190082
423.22163	1+	115290360
429.08713	1+	74366368
429.1723	1+	179937728
431.18785	1+	455747968
431.21189	3+	415677760
432.22395	3+	20577130
433.20345	1+	27077548
439.2165	1+	132166304
441.23229	1+	29024004
445.16727	1+	94153416
445.20357	1+	529537376
446.21145	1+	86295592
447.18285	1+	94544072
458.71685	2+	8968741
459.18292	1+	77771680
461.19857	1+	762289792
463.21427	1+	273650368
467.21053	3+	10724677
475.1781	1+	229389728
475.21572	2+	8356009
477.19356	1+	53289424
483.24291	1+	70159360
491.20909	1+	906035200
499.23785	1+	24388942
501.22986	1+	69764176
503.10596	1+	24101840
503.21005	1+	37477688
505.18961	3+	11397724
505.22529	1+	21649746
517.22542	1+	51571464
519.20562	1+	21772840
519.24052	1+	127914248
523.2357	1+	24845156
527.24499	1+	11397558
532.24965	1+	1076505344
533.25614	1+	257981584
534.22747	1+	27390842
543.24099	1+	40924296
545.25683	1+	34771256
547.23594	1+	115775552
557.2568	1+	56246692
559.2358	1+	40068288
559.27015	2+	55789912
561.25117	1+	65437080
561.28769	1+	18291226
563.26982	1+	35474788
573.25148	1+	93721952
575.26743	1+	157570896
577.24657	1+	33383608
577.28285	1+	16507155
579.26174	1+	43161864
587.26742	1+	112808928
589.2463	1+	94437752
589.28278	1+	270804416
591.26217	1+	63307108
591.29803	1+	61269204
595.29557	1+	62973308
603.26235	1+	196162176
605.27771	1+	367856384
607.25714	1+	78669608
607.29322	1+	75836352
617.27927	1+	53658336
619.2933	1+	1542544896
621.27293	1+	159993008
621.30885	1+	400379168
627.32182	1+	40025472
632.76097	2+	11811080
633.27314	1+	221489264
635.2881	1+	2604007424
637.30421	1+	57967412
646.8148	2+	31137252
646.82759	2+	19213546
649.30439	1+	1271175296
651.28311	1+	928744256
651.31955	1+	159151840
661.30455	1+	32630232
663.28347	1+	69713056
665.29844	1+	1939624448
667.31456	1+	479453536
675.32252	2+	23763130
679.27868	1+	158301504
679.31507	1+	48356236
681.29384	1+	37440124
681.32994	1+	40409104
687.34291	1+	321951520
691.31524	1+	29287706
693.29403	1+	24636040
695.30929	1+	2256028928
705.33079	1+	67972456
707.34558	1+	39173644
708.31879	1+	27226008
709.28892	1+	20840006
721.32568	1+	39740756
723.30666	1+	40070236
723.34071	1+	198700432
725.32058	1+	476381472
727.33554	1+	35228432
737.35659	1+	1369180544
738.33026	1+	41748996
744.63895	1+	8087188
747.34172	1+	39174788
749.35703	1+	40677952
751.33631	1+	80202920
753.35128	1+	41735416
759.31109	1+	7798322
761.35692	1+	36906772
763.33683	1+	30067724
763.37252	1+	70103000
765.35221	1+	52874108
767.33004	2+	9655084
777.35226	1+	74962752
779.36747	1+	132505408
781.34757	1+	34367048
783.36194	1+	22104502
791.36779	1+	96657688
793.34702	1+	63867292
793.38354	1+	296353088
795.36238	1+	48675332
795.3984	1+	92066856
807.3627	1+	132985152
809.37777	1+	895579648
811.35717	1+	44511096
811.39386	1+	36385836
821.37845	1+	59859696
823.3934	1+	1522816128
825.37344	1+	151474608
825.40905	1+	282653504
839.38829	1+	1493322240
841.90205	2+	9628396
853.40406	1+	2195512320
855.38321	1+	1030782592
867.38431	1+	48393776
869.399	1+	2299066112
871.40764	1+	170411120
883.37793	1+	54730712
885.39454	1+	29224760
895.41474	1+	17716354
897.39415	1+	21860090
899.40948	1+	2221913856
902.42687	1+	14875554
909.43083	1+	28642886
912.52338	1+	8492001
913.38972	1+	10978180
925.42619	1+	18131662
927.40677	1+	26701826
927.4408	1+	134055632
939.44081	1+	20476010
941.45628	1+	489562144
951.44196	1+	16966088
953.45661	1+	28508442
955.43664	1+	34526596
965.45779	1+	19168250
967.43775	1+	9305621
967.47331	1+	42874292
969.45165	1+	25946758
981.45076	1+	42475712
983.46637	1+	70939328
995.46577	1+	52041300
995.66417	1+	8063670
997.44848	1+	28286878
997.4823	1+	176101440
999.46287	1+	26335816
1011.46074	1+	66806184
1013.47763	1+	372016704
1025.47694	1+	32448618
1027.49271	1+	1086045056
1029.47359	1+	84398176
1029.51071	1+	196657200
1041.47381	1+	67920816
1043.48814	1+	678201152
1057.50374	1+	990608896
1059.48322	1+	279220512
1060.5256	1+	23457590
1071.48303	1+	27950406
1073.49856	1+	1513063680
1075.51905	1+	61314784
1103.50956	1+	1117835520
1113.53052	1+	18854114
1129.52714	1+	24634150
1131.54117	1+	100892960
1145.55581	1+	578842752
1157.5573	1+	41542012
1159.53785	1+	40853040
1173.55093	1+	22772678
