# Lewis Y. [Fuc(a1-2) Gal(b1-4)][Fuc(a1-3)] GlcNAc(b1-0)
# O18
# Metal: Cs
# Method: EED
# Permethylated
# Precursor: Cs+  978.3554

m/z	        z	I
237.40926	2+	5414686
242.7407	1+	12273992
263.98878	1+	4516188
270.18806	2+	5147120
281.05136	2+	5826719
288.00014	1+	5958069
290.99948	1+	56531564
297.13765	1+	49004984
300.772	1+	8321817
302.01586	1+	9846325
306.99433	1+	83417552
309.01003	1+	12303284
313.13249	1+	11023670
318.01031	1+	4517245
320.01505	1+	9288133
321.01035	1+	18818540
322.01744	2+	59143060
322.03026	1+	34212764
323.9975	1+	17770182
326.11857	1+	204781024
326.45344	1+	80958360
326.78776	1+	13366593
327.11497	1+	4683004
334.03035	1+	26698748
334.98968	1+	5858454
336.76516	2+	8913333
337.00493	1+	150249088
338.01276	1+	47192868
345.76788	1+	17667062
350.02512	1+	30260742
350.20618	1+	12085397
350.98456	1+	8249189
351.13038	1+	19242456
352.99977	1+	2538946304
362.02522	1+	17975118
364.04074	1+	461462112
365.04857	1+	92605944
368.34402	1+	6608896
371.01496	1+	9731221
371.31584	1+	18430324
378.02053	1+	11407388
380.03578	1+	72081408
381.0311	1+	9755434
381.04338	1+	20021758
383.01018	1+	4698804
385.03071	1+	21602864
388.34238	1+	28436170
393.29773	1+	124810496
394.05124	1+	8765925
395.04674	1+	16737882
396.03057	1+	50411792
407.27695	1+	11468729
409.06164	2+	8280170
409.27164	1+	6894060
409.29265	1+	27180796
410.03369	1+	11723909
410.04525	1+	7416913
411.00521	1+	14237862
413.0256	1+	7077047
416.63467	2+	26976002
424.06082	1+	7869958
429.02047	1+	10157786
436.24286	1+	34118020
440.05631	1+	11040141
442.70622	2+	6406526
452.09294	1+	26550964
453.05232	1+	10932736
453.08876	1+	5942450
454.03551	1+	4610066
455.06789	1+	15218800
465.08851	1+	11169378
466.0723	1+	16443775
467.10488	1+	6965837
468.08804	1+	13882241
477.23045	1+	8262162
479.06794	1+	9279455
480.23254	1+	6939934
481.08331	1+	35646508
482.06706	1+	11947807
482.10378	1+	22569096
483.06276	1+	10034472
483.10031	2+	11822776
489.04169	1+	13256646
