# LNFP 2. [Fuc(a1-4)] [Gal(b1-3)] GlcNAc(b1-3) Gal(b1-4) Glc(b1-0)
# O18
# Metal: Cs
# Method: EED
# Permethylated
# Precursor: Cs+ 1212.4667

m/z	        z	I
220.10469	1+	3054579
221.01546	2+	2845795
221.07511	2+	2764425
221.18366	1+	2951855
225.113	1+	2990721
225.322	1+	3093876
230.42202	2+	2809279
231.20741	2+	2912481
231.639	1+	2777922
231.66211	1+	2893595
232.51424	2+	2790794
234.07671	1+	2994957
235.81346	2+	2818488
237.20712	2+	3025748
237.46503	1+	2810194
244.85697	1+	2884983
245.10813	1+	2913028
245.98223	2+	3035382
253.80386	2+	2838691
257.83876	1+	3618117
260.39406	1+	2892236
262.74875	2+	2957686
263.56377	1+	2892657
263.84706	1+	3261722
271.54939	2+	3171612
276.51209	1+	3412203
277.16909	2+	3188215
278.56527	2+	3399687
280.21976	1+	3056622
281.05195	1+	14457803
289.92074	1+	2864568
290.92909	2+	2956582
299.82799	2+	3038358
304.31278	1+	3007707
304.32169	2+	4226015
311.2908	2+	3333372
311.91217	1+	3111439
321.50883	1+	3495986
327.02341	1+	3063864
327.62531	2+	3764054
333.52496	2+	3000258
337.00607	2+	14591899
338.87327	1+	3016567
348.02188	1+	10073190
348.69093	2+	3020264
353.00034	1+	65653200
364.48258	2+	3101413
365.93298	2+	3137809
370.08722	2+	4032856
370.78035	2+	3139346
374.03036	2+	3607589
378.03191	1+	14119366
383.48692	2+	4932143
386.63838	2+	3233579
387.61562	2+	3165633
395.42181	1+	3101169
402.21272	1+	25478364
403.65696	2+	18681652
406.08898	1+	3725789
408.43604	2+	3259523
413.96245	1+	3352232
421.41573	1+	4092891
430.45421	2+	3290675
432.22321	1+	55732048
447.72706	2+	3455630
450.23375	1+	32690300
457.17189	1+	3134567
459.10313	1+	3560823
459.70729	1+	3642600
503.67925	2+	6594333
509.61293	2+	3685635
516.81786	2+	3494627
517.27574	1+	71286264
519.01825	1+	3411311
522.10991	1+	20985730
523.98449	2+	3648019
527.11388	1+	30087776
533.68962	2+	28680178
534.28485	1+	3549577
536.12537	1+	13350206
541.10511	1+	20713532
542.11324	1+	7668208
543.12021	1+	13736817
545.26888	2+	5524675
550.1052	1+	24640886
552.12056	1+	139218912
557.12435	1+	156494016
566.13622	1+	15847963
572.68049	1+	3758618
573.11962	1+	4295227
573.12006	2+	36043824
575.13491	1+	27516892
575.28094	1+	4689417
580.11578	1+	18198082
582.131	1+	190053776
587.34197	1+	3637311
597.55461	1+	4182764
603.12989	1+	129487224
605.30927	1+	4202333
606.73534	2+	5372908
638.33827	1+	89343432
642.96408	2+	4175070
659.8179	2+	4325268
685.01796	2+	4842095
699.19867	1+	22900792
724.19812	1+	4036429
727.21335	1+	5143815
730.22941	1+	402648480
731.21444	1+	19920228
741.69535	2+	5513488
742.22953	1+	24685086
744.21971	1+	12475869
746.22398	1+	13723412
756.22028	1+	23420472
758.22458	1+	36723120
760.24093	1+	6725383
770.23587	1+	32595864
772.23988	1+	269730368
773.21933	1+	7046772
786.23042	1+	351594592
788.2353	1+	62135592
793.47089	1+	5626043
802.25044	1+	47369604
815.65204	1+	4370042
818.24549	1+	22536648
842.43652	1+	9780982
844.27239	1+	36828448
848.25613	1+	29966894
859.78541	2+	4496856
862.27152	1+	17938854
873.94969	2+	5911883
874.28463	1+	5485674
882.18889	1+	4494624
896.44671	1+	15101847
904.31867	1+	73861288
912.44276	1+	5847657
914.44492	1+	20900128
928.46042	1+	15323325
932.31462	1+	28131540
934.32954	1+	21589764
944.32478	1+	61740616
946.32888	1+	85779424
950.32687	1+	5086037
960.32085	1+	9426105
962.32391	1+	49046296
964.34017	1+	66503876
966.50224	1+	5235306
976.31669	1+	34720708
976.33987	1+	161421424
978.32027	1+	5026671
990.33058	1+	249335248
992.33487	1+	87048792
1006.35047	1+	128675416
1007.33373	1+	8638732
1022.3452	1+	129269104
1038.34476	1+	5704730
1052.35617	1+	184098352
1062.38781	1+	76681768
1080.38656	1+	9675897
1094.40476	1+	12546170
1102.5504	1+	41900872
1120.41616	1+	7017164
1122.58074	1+	12730727
1131.33139	1+	5148436
1136.41505	1+	62355932
1138.4303	1+	60836296
1148.42438	1+	24549204
1150.42412	1+	45792340
1150.44465	1+	64214492
1152.40632	1+	7650212
1154.60724	1+	321557504
1166.42495	1+	93194976
1176.77965	1+	5039542
1180.44049	1+	204555328
1183.42374	1+	17689926
1196.43529	1+	64724700
1197.43985	1+	13002152
1210.45359	1+	28616616
1212.46667	1+	11421700096
1214.66597	1+	144080816
1216.59194	1+	6763922
1219.56477	1+	10750640
1992.5217	1+	11086396
