# N223. [Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [NeuAc(a2-6) Gal(b1-4) GlcNAc(b1-2) Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal:Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1235.6174


m/z	z	I
208.13326	1+	18523120
213.07359	3+	7401202
219.06054	2+	6835428
221.44096	3+	6986324
224.12578	1+	37537628
226.10749	1+	6512142
228.12308	1+	58602528
230.13873	1+	46570508
238.10507	1+	25162576
240.15949	1+	16237084
241.10459	1+	6233111
242.10252	2+	12254077
243.08399	1+	25899884
244.11803	1+	12717171
245.09962	1+	27214196
245.16057	1+	8464338
246.13366	1+	196308304
254.1363	1+	27249472
258.79269	3+	7654920
259.11526	1+	43366056
260.14924	1+	9829048
262.14144	1+	26955998
263.17125	1+	33693644
264.46919	3+	11530808
268.1156	1+	40824764
269.12342	1+	24595990
269.15851	3+	69081056
269.41135	2+	9026811
269.51915	1+	9125925
270.13125	2+	22328420
274.12855	1+	122463944
275.14129	3+	8243067
277.18685	1+	107570816
280.11802	1+	8464278
282.13079	3+	11086350
282.47261	3+	5853357
283.11565	3+	9353224
284.08058	1+	13682999
285.15308	1+	38164712
287.11019	1+	19981670
288.80418	2+	6065907
290.16021	1+	9378847
291.08173	2+	7708991
295.19744	1+	217164608
296.11045	1+	55313016
296.13145	3+	6803950
296.14692	1+	12522884
299.1688	1+	109312976
300.14431	1+	7688841
300.17657	1+	22308198
301.18495	2+	6897788
301.82405	3+	7641924
306.13123	1+	6176780
308.14909	1+	10182954
308.89926	3+	6709237
308.90353	1+	19689130
308.90952	2+	13642051
309.0922	1+	62540164
309.15772	1+	14584383
310.12615	1+	17213492
312.14415	1+	121725440
313.0899	1+	11624584
315.14144	1+	45111544
315.1637	1+	69381904
317.17938	1+	251254752
320.22933	1+	7464138
322.12409	1+	11292643
324.14175	1+	31590020
324.82578	3+	8604936
325.12611	2+	14603018
325.20792	1+	35442160
326.15745	2+	24764410
327.1051	1+	34048884
327.14183	1+	8677771
328.15083	3+	9121896
328.17515	2+	6660833
329.1211	2+	15474104
329.15699	1+	89172136
330.1548	1+	22610796
331.83727	3+	11806332
333.14429	1+	9686205
334.18605	1+	8584845
336.1418	1+	25926760
337.12257	1+	8868554
338.15654	3+	19702962
339.16156	1+	138976864
340.13708	1+	6438642
340.17304	1+	35143296
340.25527	3+	23616900
342.11632	1+	6550521
342.15466	1+	13842766
344.17041	1+	774978240
345.17411	1+	53987224
346.1237	1+	17455776
346.17739	3+	13650360
346.18659	1+	14694541
354.15235	1+	15877516
355.06939	1+	12443459
355.13621	1+	7608229
