# Man9. [[Man(a1-2) Man(a1-6)] [Man(a1-2) Man(a1-3)] Man(a1-6)][Man(a1-2) Man(a1-2) Man(a1-3)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)		
# O18		
# Metal: Na		
# Method: EED		
# Permethylated		
# Precursor: Na+ 2398.1815799	

m/z	z	I
207.03251	1+	76730392
211.09429	1+	79411688
212.1002	1+	5317541
213.11003	3+	12006904
216.43778	3+	4788868
219.12279	1+	73624568
227.08907	1+	272080992
235.05553	1+	15621333
236.08924	1+	9730856
239.78589	3+	8108406
241.04485	1+	48221920
243.08394	1+	343335136
247.24196	1+	5457194
249.07061	2+	32704794
257.09959	1+	121123424
258.10742	1+	169517808
259.11526	1+	33151954
264.28104	1+	6377866
265.28973	1+	5663670
267.10787	1+	4359882
268.11557	1+	34722516
270.11986	2+	5948135
270.13125	2+	30006776
270.52368	3+	5882340
270.57667	2+	15307767
270.61563	2+	12496614
270.6896	2+	7447145
270.70763	1+	11113192
274.12851	1+	18751482
275.67844	2+	5735785
278.29675	1+	9513037
280.31243	2+	5206946
281.05109	1+	201914256
281.09718	1+	88503200
283.048	1+	22723236
283.81178	3+	10044676
284.13539	1+	78454448
284.14687	2+	16214549
285.13135	1+	14876012
287.11016	1+	21756946
291.30451	1+	4306834
294.19107	1+	36167736
295.07642	1+	9564543
296.11043	1+	46483604
297.09451	1+	9101291
297.13135	1+	13923047
298.12584	3+	4482721
299.11066	1+	17807118
300.11846	1+	10654116
300.14173	1+	25771526
301.05963	1+	4337514
301.0898	1+	23273102
302.1465	2+	98564104
302.15742	1+	5213935
302.15758	3+	40780808
304.31303	1+	5829561
305.99503	3+	5530675
306.32854	1+	10309219
307.33577	1+	5863004
308.16403	2+	4305855
308.3444	1+	7596199
309.06437	1+	21505104
310.64836	2+	5371098
313.12618	1+	21697834
315.14139	1+	127088896
316.14872	3+	4448391
316.173	1+	40601896
318.17718	1+	23473952
318.32877	1+	5718199
320.34432	1+	10018675
321.35144	1+	4617661
322.12331	2+	6263141
322.35987	1+	5607192
324.13848	2+	7436956
325.12573	1+	24885236
327.14202	1+	20409224
328.14962	1+	19092172
329.12057	1+	114737744
330.14087	1+	132767008
332.13856	1+	5943836
334.35945	1+	12873428
337.38271	1+	6501863
338.15481	2+	9298440
339.07582	2+	4317579
339.14129	1+	30666650
341.0174	1+	16658718
341.15712	1+	53485288
342.32868	1+	5103982
342.83958	3+	5836041
343.13622	1+	61719948
343.17705	3+	6649568
344.1687	2+	20655236
345.15238	1+	20816464
347.10769	1+	32327022
348.37504	1+	8796707
349.3835	1+	6659766
350.39176	1+	4911004
352.67556	1+	5475555
352.84268	1+	8562475
353.15694	1+	22491086
353.51533	3+	4993182
354.32851	1+	5798270
355.06985	1+	112417496
355.17262	1+	64386376
356.06858	1+	29013186
356.18115	1+	9516152
357.06622	1+	20096574
357.15198	1+	37419464
358.35924	1+	4799704
359.16997	1+	15335102
362.39119	1+	12429744
364.40682	1+	4210965
365.11906	2+	69284304
366.32803	1+	16484869
367.13641	1+	13659293
368.34381	1+	48235704
369.15203	1+	58268360
370.35942	1+	21872876
371.16757	1+	123127552
372.37515	1+	7147049
372.51755	2+	4719704
372.8504	3+	12614467
373.14668	3+	17829344
377.15788	2+	5909412
378.42269	1+	5100941
379.13395	1+	963719488
382.32302	1+	49136276
383.1676	1+	76159376
384.3386	1+	9146627
385.1469	1+	61343916
385.18326	1+	218332848
386.19056	3+	7466182
387.16249	1+	52426548
387.19881	1+	31067050
388.18572	2+	5106056
388.40714	1+	6015746
389.17825	1+	11079748
390.42283	1+	10635920
391.03084	3+	5220863
391.19624	1+	83096304
394.1838	1+	5530915
397.19437	1+	5081253
398.69762	2+	7455325
398.86578	3+	7353412
399.16258	1+	92378968
400.06939	3+	4443779
400.80731	3+	9204685
401.17813	1+	168774624
401.2133	3+	6208409
403.15885	3+	12042842
403.52793	2+	25928032
406.45426	1+	5339953
407.12799	3+	7734303
410.66209	2+	5255051
412.19421	1+	9674627
413.1414	1+	15798666
413.17817	1+	73449784
413.21379	3+	4816114
413.68729	2+	6784061
414.42245	3+	5393840
415.15738	1+	65998060
415.19376	1+	422785984
417.17305	1+	149132400
417.2095	1+	131645152
418.20716	1+	11057173
418.45415	1+	8855641
420.46929	1+	4683313
421.1445	1+	18847940
421.24209	1+	5019769
423.16015	1+	60987448
423.22233	1+	40711824
425.21655	3+	6954772
425.22555	1+	10828750
426.23423	1+	4332047
426.65336	2+	6037666
427.22926	3+	10158533
428.21028	1+	4215299
429.08803	1+	67831080
429.173	1+	93020240
430.08726	1+	20171182
431.18877	1+	862344640
432.19603	1+	35392432
433.19267	1+	12650042
433.20433	1+	33381198
437.1383	2+	9798163
437.84297	3+	4726681
439.15501	1+	28049750
440.18903	1+	62005396
440.43853	1+	4593540
440.88787	3+	5906423
441.22038	1+	5049881
442.45361	1+	6082563
443.18871	1+	26441328
445.14435	1+	152630960
445.20425	1+	606089984
446.21322	1+	98047576
447.18356	1+	271688960
447.22	1+	69093864
449.13931	1+	28054722
449.19922	1+	24148864
451.1549	1+	43548212
453.17049	1+	106247448
454.25373	3+	10593601
455.22481	1+	66131776
455.23686	1+	57578420
457.20439	1+	24268454
457.24047	1+	137856352
459.14826	2+	7296413
459.18431	1+	46691856
460.50007	1+	8843483
461.19934	1+	1626938240
463.21489	1+	426542304
463.90179	3+	6386031
465.16992	2+	11717095
467.85267	3+	4529313
469.20427	1+	9220398
469.2405	1+	41388456
469.25186	1+	23994744
471.18058	1+	21511336
471.21988	1+	20612786
471.2314	1+	10119529
473.1992	1+	51250176
473.23711	3+	13313572
474.18166	3+	4979354
475.17848	1+	96607024
475.21559	1+	24801642
477.19493	1+	23201624
478.19976	2+	8290490
479.17986	1+	120387688
480.47	1+	5412176
483.17991	1+	11331051
483.23111	1+	23707952
483.26621	1+	6376933
485.19672	1+	254108480
485.2355	1+	87056392
485.24681	1+	56339344
487.21491	1+	39930684
487.25096	1+	160344480
488.25898	3+	30256790
488.85782	3+	9881340
489.15749	1+	17807038
489.19439	1+	11061582
489.23026	2+	23150292
491.20984	1+	36394012
495.18146	1+	32458094
496.50154	1+	10846238
497.23547	1+	20663254
497.2467	1+	75320112
499.25152	1+	289980608
499.26232	1+	112764568
501.23046	1+	30538850
501.26654	1+	42485008
501.27817	1+	20433644
502.54712	1+	7736751
502.78022	2+	5307568
503.10637	1+	32934106
503.21104	1+	36722776
503.24654	1+	24730470
505.22546	1+	471210400
507.21117	1+	5694489
507.27937	1+	13089278
509.19635	1+	4627983
511.17772	2+	5355203
512.19574	3+	7147824
512.5319	2+	5183510
513.19161	1+	55659792
513.23101	1+	27723450
513.27796	1+	48672452
514.19146	2+	15587518
515.20874	1+	20312994
515.24609	1+	76865936
515.25738	1+	32985910
516.72568	2+	19566460
516.76268	2+	14544781
517.22595	1+	31828428
517.26141	1+	18316042
519.24113	1+	315308768
521.19034	1+	82942160
524.53397	3+	4843599
525.24129	2+	26836352
526.54746	1+	10787919
527.20753	1+	960404096
529.26192	1+	350868416
530.27159	2+	45830068
530.57828	1+	11644464
531.24233	1+	50180448
531.27727	1+	87167072
533.25673	1+	448046432
535.23885	3+	9710982
535.28784	1+	4965036
536.0286	2+	6079845
537.23762	2+	4278512
538.21714	3+	6093401
539.16361	1+	9172835
540.56342	1+	11076562
541.15964	1+	4457563
541.22426	1+	15982575
542.57926	1+	6429486
543.18113	1+	15323292
543.24144	1+	60973728
543.28868	1+	29295626
545.22062	1+	21210006
545.2571	1+	130392240
547.23641	1+	64700176
547.27267	1+	103046312
547.28351	1+	28767550
548.53134	1+	6340167
549.25126	1+	47201728
550.54937	2+	6875051
551.20777	1+	48203756
553.22026	2+	12175759
554.57899	1+	9711549
556.5948	1+	5962306
557.22112	1+	24846614
557.25721	1+	39539220
559.23649	1+	62084836
559.27269	1+	189487856
561.21574	1+	17158890
561.2201	3+	8906089
561.25208	1+	105907592
561.28847	1+	27481246
563.23217	1+	24433316
563.26701	1+	35450024
564.24265	1+	5815629
569.21764	1+	51769652
569.25384	1+	37085164
571.23651	1+	22555694
573.21554	1+	18996840
573.25218	1+	90303736
573.26262	1+	121357448
575.26723	1+	765858496
577.24684	1+	26784812
577.28253	1+	78645760
579.2385	1+	22866286
581.22143	2+	10221549
582.61045	1+	5580003
583.23343	1+	975572736
585.25221	1+	25462378
587.2313	1+	30726618
587.26773	1+	69319176
589.24696	1+	110661616
589.28339	1+	293710720
591.26266	1+	71424088
591.29833	1+	110201104
595.23398	1+	10112398
597.2479	1+	12126482
599.2073	1+	20651060
601.24723	1+	18115742
601.28185	1+	10299409
603.26277	1+	180607200
603.29868	1+	38849344
604.79341	2+	26073090
604.81116	2+	7233142
605.05275	1+	7685697
605.06054	2+	25404856
605.242	1+	32803074
605.27826	1+	154322992
605.29053	2+	28451144
605.31071	2+	27311314
605.54183	1+	59202796
605.54981	2+	35099536
605.56008	2+	25363414
605.81065	2+	18792084
607.23387	1+	19896224
607.25698	1+	29146636
607.29337	1+	33907024
609.24906	1+	37145972
611.22752	1+	14258631
613.24412	1+	18436108
615.26242	2+	13515076
615.29643	1+	4683299
616.77211	2+	37512656
617.2418	1+	28891100
617.2782	1+	55338676
619.25761	1+	87429400
619.29406	1+	142970752
621.27258	1+	134684368
621.30912	1+	119434288
623.28901	1+	12188913
625.24458	1+	40826052
627.26039	1+	60285500
629.27393	1+	39920164
629.31487	1+	20650450
630.24429	1+	7154142
631.29145	1+	18283266
631.32957	1+	5481294
632.27804	2+	4717902
633.27325	1+	184483632
635.28839	1+	934409792
637.26738	1+	22760896
637.30377	1+	22499630
639.25974	1+	83917176
643.25525	1+	27884124
643.29204	1+	9400589
645.27352	1+	57143232
645.3079	1+	13863232
647.2523	1+	16942618
647.28912	1+	45164892
649.26705	1+	60894928
649.30454	1+	284496128
651.25385	1+	48599076
651.28379	1+	202147968
653.23986	1+	14409434
653.26908	1+	7604559
653.29896	1+	39030056
655.25518	1+	52298108
657.27106	1+	317689664
659.28749	1+	23029448
659.32447	1+	14603563
660.34331	1+	16576916
661.30606	1+	34488888
663.24793	1+	16386261
663.28396	1+	44321268
663.31963	1+	14466130
665.29889	1+	1837859840
667.25554	1+	38124644
667.31472	1+	175160400
669.27174	1+	16828476
671.28847	1+	9964301
671.3253	1+	19259874
673.26456	1+	15738435
673.30278	1+	21476950
673.33998	1+	44496964
675.2836	1+	20447880
675.32008	1+	32424896
677.29959	1+	68831728
677.33558	1+	23831390
678.80994	2+	11533399
679.27869	1+	78822576
679.31436	1+	12136808
681.27294	1+	19667140
681.29389	1+	51639188
683.27911	1+	24020122
685.26581	1+	29678164
687.2812	1+	19752612
687.32025	1+	30819714
689.29718	1+	41352144
689.33519	1+	41446880
690.29266	1+	16364541
691.3148	2+	48198528
693.25774	1+	17968558
693.29474	1+	32349660
693.33013	1+	24088782
695.30936	1+	86521432
699.28185	1+	31984500
700.32196	2+	4214378
701.29881	1+	21897838
701.33618	1+	16627692
703.27681	1+	61970068
703.31476	1+	29377958
703.35121	1+	39603384
705.2941	1+	21200550
705.32973	1+	52511256
705.36751	1+	9962797
706.80777	2+	21514088
707.30866	1+	26462438
707.32539	2+	14336913
707.34228	2+	29445422
709.28854	1+	15576703
709.32524	1+	21457994
711.27418	1+	51855900
713.25967	2+	5855909
714.31622	2+	14878724
715.3143	1+	12615775
717.29224	1+	446307328
719.34629	1+	265679232
721.28946	1+	15612263
721.32495	2+	52606656
721.36108	1+	27557678
723.30417	1+	85380192
723.34066	1+	211314624
725.28932	1+	14564670
729.32213	2+	8750965
730.21756	1+	4508781
730.83726	2+	13243377
731.31005	1+	30566290
731.34613	1+	23938260
733.32556	1+	56956516
733.36174	1+	27008222
735.30412	1+	21324328
735.34119	1+	62105168
736.32842	2+	5644124
