# N013. [NeuAc(a2-6) Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [[Man(a1-3)] [Man(a1-6)] Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1215.1028


m/z	z	I
205.75756	3+	2789880
207.03225	1+	18252266
208.13308	1+	12805819
209.02897	2+	2498778
210.65635	2+	1892946
210.93653	2+	2336834
212.16295	3+	1952934
212.17803	2+	2119656
212.7973	2+	1976332
213.13812	2+	2142653
213.26154	2+	2227699
213.31074	2+	2093722
213.34556	3+	2076460
213.69991	3+	2008451
213.74159	2+	2087960
216.57466	2+	2387584
217.2001	1+	1985001
218.55818	2+	4153560
219.21044	2+	2781402
219.27628	2+	2745510
221.31373	2+	2109003
221.98766	1+	2376617
223.12158	1+	2709796
225.07341	1+	2239225
225.1336	2+	2838622
228.44432	2+	2077575
228.98605	2+	2287526
229.11309	1+	2269408
229.56333	1+	2297115
230.13828	2+	2710885
236.73203	1+	2438244
237.31824	3+	2161683
237.40151	3+	2211400
237.53085	1+	3020415
238.94258	2+	2222919
239.29498	3+	2635169
240.11453	2+	2790603
240.15938	1+	12413786
243.02661	1+	13553622
243.12688	2+	18542882
243.45095	2+	2642989
245.13051	1+	2952021
245.28672	2+	2532106
245.4544	3+	2156595
246.2344	3+	2877104
246.56989	3+	2230287
254.13637	1+	19860952
257.33854	3+	2309367
258.77866	3+	5553671
259.03989	3+	2240656
262.14119	1+	17241746
265.48329	3+	2409408
267.08129	1+	44612784
267.78003	3+	6399561
268.05503	2+	3482789
268.59155	1+	3364355
269.08197	2+	6880575
269.0997	2+	6118269
269.15801	1+	42567796
272.80474	2+	2246532
274.12836	2+	10527586
275.14453	3+	3058861
277.18667	1+	34865024
277.49111	3+	2340019
278.29658	3+	2945282
281.05096	1+	31781272
281.09697	1+	44792536
281.38558	1+	2532360
282.13103	1+	9171847
284.36668	2+	2672990
285.15293	1+	20163814
285.88455	1+	2430492
287.36542	3+	2334184
288.30121	2+	2688582
288.72637	2+	2316689
290.29643	3+	2768018
293.45556	3+	2692989
295.19732	1+	15074202
295.83835	2+	2239656
297.17724	2+	2550665
298.98783	3+	2431240
299.1686	1+	51951500
299.27073	2+	2422628
299.60627	1+	2694883
300.72309	2+	2252115
301.12596	1+	12492893
301.84095	3+	2251437
303.44581	3+	2376493
303.64014	3+	2441330
304.45011	3+	3569455
305.4869	1+	3617701
306.13081	1+	6010658
308.52151	1+	2282897
308.62977	2+	2521601
309.48777	2+	2225028
310.1619	1+	3763844
312.10525	1+	2848451
313.03368	3+	3020745
313.08976	1+	4785628
315.14181	2+	25937438
315.16346	1+	34016732
315.30876	3+	2215961
315.67365	2+	2248591
317.17914	1+	146398576
317.82863	2+	2592403
318.32244	3+	3030064
319.06547	1+	2339384
320.23762	1+	2252430
322.12538	2+	5631051
323.10749	1+	40575256
324.14162	1+	16706639
324.74145	2+	2541846
325.12536	2+	5221003
