# LNFP 3. [Fuc(a1-3)] [Gal(b1-4)] GlcNAc(b1-3) Gal(b1-4) Glc(b1-0)
# O18
# Metal: Cs
# Method: EED
# Permethylated
# Precursor: Cs+ 1212.4638

m/z	        z	I
211.714	2+	2746782
216.37904	2+	3093976
217.18545	1+	3324160
219.84731	2+	4172712
221.26881	1+	3414018
222.21271	2+	3241789
222.79664	2+	3433494
223.47804	2+	3267215
224.62908	2+	3436721
225.1088	2+	3178985
225.14478	2+	3622506
226.66172	2+	4477445
229.44412	2+	3221764
231.04007	1+	3153249
234.90248	1+	3140572
235.22938	1+	3564891
236.87974	2+	3836258
239.85691	1+	3255943
240.33995	2+	3845710
246.89736	1+	3383370
250.76174	2+	3302230
251.26226	1+	3881789
254.92401	1+	3150704
262.34533	1+	4111366
263.53377	2+	3532478
264.49633	2+	3438914
274.75903	2+	4011470
278.00164	2+	3282656
278.72389	2+	3380629
281.04821	1+	21650652
282.92457	1+	3964547
283.15064	2+	3373533
283.76241	2+	3533712
286.5808	1+	3318893
286.59743	1+	3917539
288.42417	1+	3763324
291.50961	1+	3471628
295.41807	2+	3835564
296.76619	2+	3679308
300.77608	2+	11492017
303.22657	2+	3432091
303.25083	1+	3509753
312.61917	1+	3848291
313.90731	1+	3490227
320.95862	2+	3662729
327.56656	1+	3522799
327.7256	1+	3348489
336.95349	2+	3443461
337.00275	1+	15992064
337.11182	2+	5873147
338.01056	1+	5402267
338.64394	1+	3676295
340.28401	2+	3891850
345.00012	1+	3865745
346.09158	2+	3666470
347.56245	2+	3503137
348.01779	2+	7158993
350.62678	2+	5214955
352.02519	1+	3639222
352.99749	1+	348927392
357.77612	1+	3528342
357.8403	1+	3824435
360.7203	2+	3506316
363.33599	2+	3490150
363.75429	1+	3755649
364.68648	1+	3521427
377.0831	1+	3897248
378.02951	1+	73405192
388.81271	1+	4213652
390.97135	1+	4092394
392.71317	1+	79688000
399.0277	2+	9614934
403.22816	2+	4337349
404.15362	1+	92129520
423.95554	2+	3955347
428.98897	1+	7421216
431.15829	2+	3996632
432.33391	1+	3684137
445.01336	2+	3883643
457.64469	2+	4360615
460.85665	1+	3662987
463.18131	2+	4382308
468.41031	2+	4833000
470.21743	1+	3805914
478.91334	2+	3862482
480.06247	1+	22171208
480.08381	1+	3931871
481.07681	1+	6608770
491.21187	1+	4083269
492.93139	2+	5563574
493.412	2+	3764787
497.11425	2+	7227266
503.32915	1+	3792637
503.82851	2+	3739487
504.20875	2+	4796124
505.13901	2+	3784505
511.09345	1+	27692766
522.10977	1+	16007079
527.08863	1+	29394188
527.11346	1+	53247808
533.68921	2+	82186496
535.62601	2+	8213170
536.1254	1+	7638056
539.65543	2+	3913004
541.10497	1+	89261968
543.10832	1+	13735192
543.11996	1+	86114616
544.28463	1+	3984899
550.105	1+	10378216
552.12028	1+	11960487
552.95049	1+	14306948
557.12431	1+	229680928
560.78505	1+	4434118
565.59649	2+	4039173
566.13644	1+	12508387
568.11576	1+	8370122
573.11972	1+	86615328
575.13497	1+	43945624
576.97832	1+	31032974
577.0855	2+	4380605
582.13105	1+	164398208
590.99389	1+	22154372
600.60721	2+	34313436
603.12996	1+	273136640
603.63853	2+	5386240
606.23316	2+	10759863
610.38234	2+	3971163
614.6234	1+	8280251
622.50149	1+	4211464
629.61407	1+	5227675
638.33871	1+	27229518
640.17335	1+	28945348
670.35317	1+	13699337
699.19947	1+	26351122
712.19392	2+	5813436
716.64092	1+	6211579
728.21733	1+	12933347
730.23033	1+	532735008
731.21436	1+	107716960
739.20557	1+	4542626
742.20477	2+	12727046
742.22917	1+	18013792
744.22157	1+	14462373
745.25248	1+	13206082
746.22496	1+	43663168
756.2204	1+	18523600
758.22554	1+	33211138
761.24908	1+	28529734
769.20299	2+	4579456
770.23604	2+	35905744
770.23632	1+	10837449
772.24086	1+	419186112
774.68272	2+	4549804
786.23137	1+	492758976
788.23607	1+	119446984
802.25129	1+	260831648
818.24622	1+	114931472
844.06592	1+	5165962
844.27336	1+	66578032
848.25674	1+	167309696
852.40196	1+	9698459
862.27245	1+	90638544
874.28323	1+	8389248
890.26694	1+	9560900
895.95362	2+	6638490
900.30043	1+	8538657
902.30443	1+	8162929
904.2827	1+	21408248
904.31962	1+	13522272
928.46071	1+	11120555
932.31452	1+	24897320
934.33055	1+	21210084
944.32511	1+	98827160
946.30503	1+	13877475
946.32836	1+	53941092
946.34258	1+	48949072
950.32464	1+	16247694
961.32289	2+	13549329
962.32378	1+	37052240
964.34017	1+	317302016
976.31541	1+	67704984
976.33998	1+	117143032
980.33551	1+	5659834
990.3305	1+	441962112
992.33516	1+	149433712
1006.35024	1+	100856784
1007.82899	2+	11818021
1009.33206	1+	8442317
1020.33029	1+	9407410
1022.34507	1+	148376112
1048.35332	1+	6899004
1052.35522	1+	408022688
1062.38749	1+	137291632
1080.38738	1+	19861504
1094.40245	1+	55282840
1102.54892	1+	28214476
1106.40204	1+	11167516
1108.38131	1+	9243323
1120.41546	1+	9692733
1124.37872	1+	9196263
1136.4134	1+	113097120
1138.42921	1+	79459376
1148.42333	1+	42548812
1150.42142	1+	67252160
1150.44227	1+	128176864
1151.44498	1+	11062353
1166.42267	1+	156528752
1180.43819	1+	409318272
1183.42654	1+	24383328
1196.4333	1+	82829856
1197.43721	1+	12615069
1210.45019	1+	43113368
1212.46381	1+	17215367168
1213.46682	1+	1119272832
1213.95164	1+	6422095
1214.8731	1+	10471058
1217.06501	1+	6181677
1217.47535	1+	40572240
1218.55622	1+	8709409
1219.25363	1+	7649976
1497.32709	1+	6406223
1965.59343	2+	10431649
1966.24979	1+	19310332
1966.33362	1+	18638332
1979.47416	1+	13213664
1991.93649	2+	12493187
1992.86566	1+	11800376
