# Sialyl Lewis A. [NeuAc(a2-3) Gal(b1-3)] [Fuc(a1-4)] GlcNAc(b1-0)
# Metal: Na
# Method: EED
# Permethylated
# Precursor: Na+ 1053.51989


m/z	z	I
211.25962	1+	1508743
212.52991	2+	1724543
213.89791	2+	1760335
214.75862	2+	1984242
214.99991	1+	1646423
216.80155	2+	1673350
217.0587	2+	2111903
218.01731	2+	1836875
218.39584	2+	1660990
219.72732	2+	1811295
222.40792	2+	1720812
222.66466	2+	1773940
223.44422	1+	1921521
224.65371	2+	1741029
224.87837	1+	1928846
226.27884	2+	1751762
230.16644	2+	1807509
230.26477	2+	1790229
232.74086	2+	1774272
233.76276	1+	1702970
234.74481	2+	1745550
235.51365	2+	1855825
237.29756	1+	2211927
237.34072	2+	1993408
238.7682	2+	1731429
239.65759	2+	2137241
240.05331	1+	1993880
240.8857	2+	2053705
243.774	2+	1848515
249.34571	2+	1780906
252.12056	1+	28209398
252.71747	1+	1823177
253.95207	2+	1811835
254.13595	1+	2822116
255.11014	1+	1831107
257.0303	1+	1865089
257.38605	1+	2026985
257.95311	2+	1831165
257.98604	2+	1858130
258.87758	2+	1906380
262.63683	2+	1949166
264.86731	1+	1787630
266.11414	2+	1952206
268.18609	2+	2015925
274.74451	1+	1895343
275.3887	2+	1888781
281.05065	1+	26189586
281.58447	2+	1868094
283.98751	2+	1862554
286.2881	2+	1930945
286.65923	2+	1903003
294.81225	2+	1956160
295.64477	2+	1953441
296.11076	2+	2236051
297.41347	1+	2344256
299.77363	2+	1834826
301.81923	1+	2008367
302.98672	1+	2030109
304.06169	1+	2215579
306.28852	1+	1874395
308.13479	2+	2022190
311.32847	2+	1926649
318.31127	2+	1980521
319.6038	1+	2673536
324.1816	1+	1965685
326.60295	2+	2162732
328.05276	1+	2027547
330.19409	1+	2011579
332.33198	2+	2226510
332.83489	2+	2013131
335.64183	2+	2145571
340.17268	2+	4793797
344.17037	1+	11122322
345.33475	2+	2112460
346.04991	2+	2206029
351.87029	2+	2017967
355.00566	2+	2074608
356.16796	1+	289496576
359.58939	2+	1993277
364.12995	2+	1941505
364.65851	2+	10934114
368.16787	1+	14718176
369.3576	1+	2657714
369.4318	1+	2233315
376.1966	1+	20780270
384.95101	2+	2426245
387.17559	2+	7200430
398.1786	1+	90238248
399.18637	1+	17296798
412.19425	1+	6790728
414.20986	1+	18481586
416.18995	1+	18698314
419.63773	2+	1970432
420.78241	2+	1990993
424.20601	2+	80245632
426.20983	1+	16899460
434.23842	1+	35308856
441.61596	2+	2348481
442.20483	1+	10444829
447.65903	2+	2059197
451.70328	2+	66404136
452.57761	2+	2036095
454.21652	2+	150145376
456.22029	1+	323107584
456.59513	2+	2019693
465.05241	1+	2351695
472.21577	2+	41006300
474.23102	1+	8341651
479.51022	1+	2077293
490.22597	1+	9040701
497.25327	2+	14370318
498.23249	2+	4978421
502.22587	1+	114445200
506.24681	2+	2288233
512.24659	1+	13647291
516.24138	1+	4830806
518.22067	1+	18691204
518.25425	2+	9702085
529.43359	2+	2122587
529.997	2+	2448209
530.25717	1+	22528428
536.23133	1+	2415986
542.25792	1+	6244221
544.23692	1+	11224343
546.25203	1+	25903436
553.11306	1+	2232245
556.27277	1+	23813422
556.88448	1+	2619457
557.8804	1+	2211267
558.25228	1+	17928236
560.26783	1+	25618878
572.26819	1+	46184436
574.28335	1+	20457272
586.24789	1+	7896812
586.28359	1+	18234242
588.22625	2+	2188016
588.26308	1+	48650984
600.297	2+	5764369
602.27877	1+	10385226
604.25759	1+	32134284
604.29364	1+	10053973
606.37307	1+	2608223
611.48645	1+	2300709
613.77703	2+	2220197
616.29439	1+	12887927
618.27342	1+	586836928
618.30958	1+	65016772
620.28896	1+	178657264
630.30971	1+	247610336
631.7881	2+	3883836
634.30446	1+	28201002
646.30456	1+	48443204
659.52574	1+	2383452
660.32003	1+	101260408
662.29947	1+	100135280
674.40497	1+	2771661
676.31568	1+	124282928
678.3307	1+	584076352
706.32839	1+	5894083
717.3412	1+	8395185
718.82485	2+	3035615
731.84345	2+	5131961
732.34139	1+	4195667
748.33607	1+	40218528
762.35163	1+	102009448
764.33111	1+	50354044
766.76921	1+	2664152
790.34651	1+	4709143
803.379	1+	21486884
817.39399	1+	12871025
833.3893	1+	11633862
847.40476	1+	92802432
861.42343	1+	3155836
863.40047	1+	16489155
865.41481	1+	9615555
876.38342	1+	5015887
891.43073	1+	23766208
893.41007	1+	167754112
905.4464	1+	58023368
921.44158	1+	14463171
923.42058	1+	24399844
933.47757	1+	33357368
935.45787	1+	4943913
937.43622	1+	18071288
947.45843	1+	8134464
949.43667	1+	26514228
949.47136	1+	42198740
949.95856	2+	8251788
950.45667	1+	6649083
952.45922	1+	8949925
963.4881	1+	91743208
979.48332	1+	297750432
992.49021	1+	18230262
993.46245	1+	19041176
993.50021	1+	17618518
995.47823	1+	41367252
1007.47728	1+	53965344
1009.49402	1+	33415386
1021.49342	1+	168170384
1023.47282	1+	13001822
1029.00312	1+	3032328
1037.48853	1+	55036564
1050.93104	1+	3030180
1053.06059	1+	3144917
1053.51988	1+	8544334848
1058.53477	1+	3972670
1110.0417	1+	3253735
2307.30525	2+	4825412
