# N233. [NeuAc(a2-3) Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [NeuAc(a2-3) Gal(b1-4) GlcNAc(b1-2) Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1416.2027

m/z	z	I
207.26236	3+	1826361
208.57651	2+	1842026
214.04283	2+	2392885
214.26686	1+	2014722
214.54342	3+	2653542
214.6333	3+	2218347
215.52372	1+	2078193
219.57059	3+	2081311
219.59126	2+	2930966
219.70724	2+	2293560
219.71835	1+	2081653
220.21828	2+	2569341
221.02062	2+	2620169
221.25197	3+	2103508
221.46616	3+	2256285
221.67689	2+	2319244
222.23436	2+	10987571
224.30301	2+	2346828
225.01276	2+	2704251
225.31911	2+	2313934
226.44874	2+	4110953
226.777	3+	2391005
226.8301	1+	2271288
228.28728	1+	3047487
229.99955	3+	2311363
232.84437	2+	2140660
234.43275	2+	2467819
235.24909	1+	2370830
235.75382	3+	4185714
238.10496	1+	8270105
238.28801	3+	2285287
238.37818	3+	2351096
238.82887	3+	2724839
239.12511	2+	5463654
241.10459	1+	2128948
241.13889	2+	2497263
241.96941	2+	2263842
242.69655	1+	2290005
242.91788	1+	2151453
243.78523	1+	2310347
246.1339	2+	13834369
246.16401	2+	2317066
246.37091	3+	2902686
249.56767	2+	2493827
249.56862	3+	2398654
253.19074	1+	2342233
254.13659	1+	18769852
254.41152	3+	2146769
256.19187	2+	2182100
259.57275	1+	2657581
259.72795	1+	2268022
262.07682	1+	2173677
263.41929	2+	2480676
263.46393	1+	2563732
264.06981	2+	2407710
265.63497	2+	2308943
267.08146	1+	23968156
267.29673	1+	2589547
269.15814	1+	26985146
269.62855	2+	19375384
269.64596	1+	34852420
270.47299	2+	2171517
272.42733	3+	2174705
273.58795	2+	2213338
273.75922	2+	2264209
275.2381	2+	2208897
276.32512	3+	2211982
277.18617	2+	20965944
277.86844	1+	3264612
277.95987	3+	2598418
278.09964	3+	2748109
279.12798	2+	2305723
279.81701	3+	3375038
281.05113	1+	30458276
282.54575	1+	2488680
282.74427	2+	2627755
283.04808	2+	3235596
283.11545	3+	7013903
283.24856	2+	9279908
283.34786	3+	3033938
285.09456	1+	2703880
285.15263	1+	14297723
285.74122	1+	2231872
289.15357	1+	2305685
289.76393	3+	2948943
289.96318	3+	2709231
290.08305	1+	2338232
290.56501	2+	2384491
291.81063	2+	2322209
291.89918	2+	2308055
292.16719	1+	2248341
292.83887	2+	2385382
293.19904	2+	2310781
293.44837	2+	2893327
294.11355	1+	2223898
296.11042	1+	21793554
296.14683	1+	11024453
298.41841	1+	2312117
299.16873	1+	43958736
300.17601	1+	6944765
301.76828	2+	2362923
302.08048	2+	2220485
302.76537	3+	2277361
305.32596	1+	2396374
306.17069	3+	2381643
310.12554	2+	11464919
313.12495	3+	2442863
315.16365	1+	27237310
316.40579	3+	2752361
317.1792	1+	90578840
320.35426	1+	2568104
322.1257	1+	6010984
322.3598	3+	2275157
322.6526	1+	2280435
323.14773	2+	2302145
323.31441	2+	3127132
324.14165	1+	24452966
326.08609	2+	2363817
326.15772	3+	13396745
326.52705	1+	2649016
327.1049	1+	20822904
327.52708	3+	2403756
329.12152	3+	8750778
332.34316	3+	2307220
332.90932	1+	2477622
332.96848	1+	2426472
333.4072	2+	2532941
336.14164	1+	17087208
339.14211	2+	3642672
339.64531	2+	2985649
340.13695	1+	4687184
340.17201	2+	17394658
340.26137	1+	4654300
341.14441	1+	3802978
344.17042	1+	127755152
345.17413	1+	41432892
346.12358	1+	27531084
352.13646	2+	7960927
354.15314	1+	8161307
355.06927	1+	18290988
355.13652	1+	3622800
356.16787	1+	591869312
356.34371	2+	2629447
357.11629	1+	3225418
358.17382	2+	3110872
358.54106	2+	2642831
362.39039	1+	2615521
362.51239	3+	2513874
365.82498	2+	2743199
365.9951	3+	2681495
366.15208	1+	26042324
368.16803	1+	57193744
368.34367	1+	16164848
369.17574	1+	15328412
370.14736	2+	4304754
370.63214	2+	2806124
372.68512	2+	3066349
373.23418	2+	2340676
374.11846	1+	7290039
376.19647	1+	82834848
381.14539	1+	3880428
384.16269	1+	23140352
384.37427	2+	2535421
385.17157	1+	5383725
386.20072	1+	21751178
387.16158	1+	3491622
388.13502	1+	9034669
388.9556	2+	2372114
389.14297	1+	3153836
395.4866	1+	2860472
396.16276	2+	6232616
398.20396	1+	2971210
399.18623	1+	309818272
399.20704	3+	4399079
399.53758	2+	2661013
400.19393	1+	23192278
400.80971	3+	2653654
401.17804	1+	36502788
401.70923	2+	4030018
402.14983	1+	28665886
402.21212	1+	5268220
403.16051	2+	2833385
406.14462	1+	132225576
408.16264	1+	10937848
410.17843	1+	19473044
411.15993	1+	5033849
411.87528	2+	2411797
412.19385	1+	23089432
412.72763	2+	2507866
413.02419	1+	2592911
414.17326	1+	20543546
414.20962	1+	23649182
414.22123	2+	2663466
415.40939	3+	2652859
416.18904	1+	33009510
417.17292	1+	19087816
421.84139	3+	3487482
423.15902	1+	3082033
424.13419	1+	4176786
424.19411	1+	22109404
425.22619	1+	6100682
425.75738	1+	2786276
426.17344	1+	16304410
426.20981	1+	17829148
426.66016	2+	2955669
427.15761	1+	3023960
428.18885	1+	32316292
429.08817	1+	9743004
429.19765	1+	4717312
429.21907	1+	12316399
430.20447	1+	33130218
433.16891	1+	7520143
434.13941	1+	6579940
434.17729	3+	2524306
435.18242	1+	4911968
435.55371	2+	2481365
438.1708	1+	33370942
440.18892	1+	56866092
440.31609	2+	2493844
440.43624	3+	2675522
442.20447	1+	42064336
444.22025	1+	31767846
445.16893	1+	7696652
445.89656	1+	2589157
446.20078	2+	9191050
448.15526	1+	27648698
450.23295	1+	28177468
453.26979	2+	2500289
453.70203	2+	10605414
454.2045	1+	16693320
456.18373	1+	70492344
456.22022	1+	54382136
458.19941	1+	87502800
459.90328	3+	4717066
461.16359	1+	7482332
462.17164	1+	3608711
465.64311	2+	2849940
467.84709	3+	3981574
468.22031	1+	9308498
468.24381	1+	3802996
470.19945	1+	71460904
470.25785	1+	58263508
472.076	3+	72762976
472.21503	1+	525236608
473.22468	1+	7842537
474.22287	3+	5475840
475.67643	1+	2677374
482.20097	1+	6189454
482.25881	3+	5041377
483.4936	1+	3070927
484.21496	1+	17142192
484.27368	1+	25605720
486.19415	1+	19990548
486.23069	1+	83196848
488.20992	1+	37460924
494.19683	1+	30283122
497.06178	3+	2545068
497.69696	2+	3282929
498.23064	1+	35582816
500.21002	1+	19638054
500.24638	1+	18119528
500.26871	1+	55670984
502.28459	1+	118718272
503.17714	1+	2852438
508.71386	3+	2577789
512.24627	1+	20650472
512.27043	1+	8950350
514.22596	1+	53544476
514.28412	1+	205443264
514.87498	3+	4147429
516.20535	1+	24697818
518.19441	2+	2922737
518.3261	1+	3094684
521.80692	2+	2874948
528.24167	1+	70447888
530.22178	1+	28236300
530.25707	1+	30663344
530.27958	1+	64661196
532.2361	1+	9867795
532.29474	1+	8638554
532.72391	2+	2599852
535.29163	1+	2691156
537.71493	2+	2690562
540.20244	2+	6063619
542.22093	1+	31070702
542.25734	1+	38649684
544.23658	1+	142207552
544.27245	1+	55869656
544.29531	1+	184548752
545.30379	1+	51875184
546.2518	1+	43624808
546.31053	1+	68785696
550.24988	2+	2680641
550.28943	1+	3352185
550.69773	2+	2737243
554.21792	1+	34734764
554.22175	3+	3534373
556.2365	1+	61485192
558.21623	1+	11705761
558.25216	1+	69346408
560.23131	1+	18393942
560.26734	1+	92680816
560.29014	1+	25693200
562.22294	1+	7956784
562.24781	3+	2701096
562.30529	1+	40655008
563.79727	1+	2659485
566.88331	2+	2762295
569.74397	2+	2784348
569.98341	1+	2940499
572.23138	1+	30711458
572.26781	1+	139853184
574.24713	1+	68731280
574.28292	1+	104653184
576.2622	1+	12390184
578.21868	1+	20035824
579.73187	2+	4518348
584.26817	1+	12016372
586.24703	1+	92140568
588.26233	1+	464654144
590.30005	1+	227073424
600.2625	1+	13873739
600.29896	1+	9713686
602.24324	1+	18330096
602.2783	1+	38485716
604.25763	1+	195204032
607.25853	1+	3490769
610.24415	1+	162025600
614.27835	1+	25383586
616.29338	1+	25999940
618.27337	1+	2431099904
620.28868	1+	363857952
624.26175	1+	4019348
626.23921	1+	6813774
627.75667	2+	4054317
628.29415	1+	10034714
630.27326	1+	23001512
631.35102	1+	3058835
632.25401	1+	7249208
632.28892	1+	23543116
633.26197	1+	4038827
637.26759	1+	9758517
639.28511	1+	7286586
642.27028	1+	19596010
643.25237	1+	5746020
644.28887	1+	41372828
646.30463	1+	32541852
648.2838	1+	37399676
648.31949	1+	14255299
649.79582	2+	7257026
650.29838	1+	7421393
652.25879	2+	4937087
658.26826	1+	6405450
660.28373	1+	20535132
660.31759	2+	5021766
662.29934	1+	41930116
666.27203	1+	10526112
668.28745	1+	4451033
672.28324	2+	5085830
672.31771	1+	5429733
674.29963	1+	17994976
675.27155	1+	8428690
676.31453	1+	66863016
684.28163	1+	36607848
686.33347	1+	5782090
686.35789	1+	9343547
688.37278	1+	12192772
690.2945	1+	42722136
690.33021	1+	135739136
692.31007	1+	22793276
694.32486	1+	12857249
699.33098	1+	8413700
702.33025	1+	17913378
708.10215	2+	6931871
708.35221	2+	4862241
714.32901	1+	5916518
716.30792	1+	26351062
718.32514	1+	42719664
718.38411	1+	15477876
729.34014	1+	8063209
730.32981	1+	7528804
731.35739	1+	7600600
734.37916	1+	44754148
736.33591	1+	29206764
740.30932	2+	4458223
741.2816	1+	8806732
741.34133	1+	19193174
743.35713	1+	12402234
744.30418	1+	6517940
744.34153	1+	10893632
745.37286	1+	15600237
746.32024	1+	8324537
746.35287	2+	4544572
747.38333	3+	3799840
748.80358	2+	3583108
750.37624	1+	12405375
751.38547	1+	7631227
755.43796	1+	2975175
756.36293	1+	7623478
758.31765	1+	279860640
759.35205	1+	25471198
761.36808	1+	12877634
764.36613	1+	15256792
773.36792	1+	41846680
773.84002	2+	6178382
776.36723	1+	220535888
777.33827	1+	54473808
781.33341	1+	107752632
784.86298	2+	4537532
786.349	1+	9691787
787.38362	1+	13284777
789.36256	1+	31903806
789.39754	1+	24060048
791.37884	1+	208713552
793.39558	1+	71606776
795.35562	1+	3683091
798.34519	1+	4046476
801.36266	1+	14699160
803.37385	2+	13608352
803.86341	2+	7717461
804.38767	1+	61292328
808.08149	2+	4418097
815.37824	1+	17018950
816.35954	1+	11945680
817.39373	1+	35434692
818.37593	1+	17260510
819.40899	1+	92973024
821.38797	1+	101081168
825.42212	1+	239778000
829.39337	1+	5249148
831.37319	1+	107767768
833.388	1+	146529584
834.37347	1+	15805571
837.35987	1+	8856341
838.34336	1+	8189748
840.88918	2+	3159029
847.34423	1+	56812796
847.40356	1+	183511456
848.38893	1+	8792352
848.38942	2+	17576224
849.382	1+	25008836
849.42149	1+	12398472
850.36757	1+	10236408
852.38536	1+	6210829
855.36992	1+	21718374
855.43229	1+	27434458
856.35537	1+	10491393
856.90221	2+	4663006
858.37086	1+	12928022
860.38668	1+	13653817
861.38395	1+	3813641
862.42037	1+	19109600
863.39881	1+	492569376
864.3843	1+	43271620
866.39827	1+	80720968
870.36825	1+	3532261
875.39883	1+	6770852
877.44251	2+	6158522
877.92995	2+	6396109
878.39567	2+	4921999
879.37184	1+	24075148
879.43182	1+	4859101
884.45193	1+	3212862
886.36622	1+	14816325
888.38007	1+	68995112
889.41511	1+	10277685
892.43831	2+	8149634
893.44378	2+	7506027
894.39319	1+	23276820
900.93948	2+	13068418
902.92308	2+	3931997
905.44669	2+	6142100
906.45253	1+	11269211
908.46786	1+	17215178
911.39775	1+	12953193
914.95229	2+	3338660
915.9426	2+	11778977
916.37469	1+	3820456
919.4263	1+	9065053
921.44147	1+	54189808
922.48326	1+	36739264
924.46198	1+	11099856
925.41292	1+	4977722
929.40684	1+	8774416
929.96329	1+	6627687
933.44275	1+	4463932
935.45879	2+	7452429
936.45753	2+	13367831
938.47816	1+	31377424
940.15669	1+	3735404
940.39604	1+	6233894
942.44843	2+	3562040
942.92966	2+	7683624
943.43681	2+	3528290
943.957	2+	3506552
945.4417	1+	6679812
947.45544	2+	3911474
948.9763	2+	5016935
950.41911	1+	6914400
951.452	1+	11059621
952.45814	2+	11190720
953.40814	1+	22243008
953.9698	2+	7768897
956.48937	1+	7488985
957.97075	2+	4480716
958.44428	2+	5334712
963.45228	1+	18602946
965.97207	2+	13061861
966.44546	2+	10318556
966.47431	1+	5494850
971.41917	1+	6696960
971.97182	2+	4032200
972.97767	2+	5671421
975.45341	1+	6348383
977.46448	1+	25090028
978.47662	2+	23059442
979.98258	2+	4942943
982.46865	1+	20228138
985.43283	1+	298995296
986.97815	2+	4471355
987.9805	2+	8970659
991.48413	1+	24139844
993.46194	1+	27677148
994.98959	2+	24971956
1001.97437	2+	3638658
1002.98989	2+	27057468
1003.99593	2+	4986159
1005.46234	1+	12178473
1008.48466	1+	13303418
1008.95562	2+	3727343
1009.49083	2+	14725554
1012.47883	1+	15270111
1016.9988	2+	4344894
1017.99114	2+	42296984
1019.47792	1+	10649791
1021.4941	1+	15208816
1023.50799	1+	72831032
1025.48753	1+	79063688
1027.44465	1+	15553674
1029.52333	1+	4666872
1029.98785	2+	3916953
1032.01074	2+	5046549
1033.48519	2+	5659289
1033.49351	1+	7854357
1035.47274	1+	21606068
1035.5088	1+	6782816
1036.99087	2+	31854040
1037.48788	1+	26248810
1040.51068	2+	7751307
1044.50234	2+	3996059
1045.45583	1+	9886623
1047.47253	1+	9221117
1049.48855	1+	19466280
1051.50447	1+	45038052
1053.48286	1+	18824230
1053.52027	1+	10525467
1055.44057	1+	5287628
1057.45571	1+	7024826
1059.46887	1+	16130947
1061.48927	1+	6851827
1063.50369	1+	18611022
1065.51642	1+	18617698
1065.53367	2+	8751712
1067.49912	1+	298337440
1068.00049	1+	3934615
1073.49944	2+	10440233
1074.03463	2+	7193613
1077.48269	1+	12702020
1079.49897	1+	25263364
1080.03325	2+	12262410
1081.03996	2+	29253598
1081.51367	2+	21630180
1083.46948	1+	7521609
1086.49265	1+	12149926
1087.0406	2+	10154189
1089.0334	2+	4675046
1089.51113	2+	5875289
1091.49709	1+	76227176
1093.51461	1+	51990012
1095.04021	2+	11454193
1096.04591	2+	25710820
1097.50897	1+	14391479
1101.54236	2+	10036996
1102.54893	2+	60158004
1103.53435	2+	6312854
1107.49345	1+	5706825
1107.52827	1+	9376906
1109.52638	2+	21692146
1109.54799	2+	19642804
1111.04846	1+	12545751
1111.52403	1+	87902600
1115.49399	1+	12438389
1117.02132	2+	17650556
1117.554	2+	97662336
1119.49155	1+	10139649
1121.55118	1+	7552049
1123.52493	1+	11853286
1124.54457	2+	13099767
1125.54483	2+	33599364
1131.52171	2+	6062546
1133.50573	1+	155953456
1135.58448	1+	6865015
1137.53469	1+	22452900
1137.59824	1+	11714844
1138.52118	1+	8157659
1139.02426	2+	16823590
1140.55679	2+	126729288
1141.5865	1+	16067145
1144.56376	1+	5718450
1146.51934	1+	4677437
1151.55455	1+	14956409
1154.54301	2+	209967824
1160.57248	2+	8546956
1160.59172	1+	10490913
1161.54732	1+	7130116
1165.53554	1+	14860671
1165.5718	1+	16478171
1167.54904	1+	34246660
1167.60539	1+	22524360
1168.0818	1+	10121903
1169.59345	1+	8353238
1170.57092	1+	7573159
1173.56245	1+	4423943
1175.07414	2+	16185977
1179.54993	1+	11979981
1182.07413	2+	25541344
1182.59585	1+	21824004
1183.56844	1+	6044970
1183.59845	2+	21338850
1188.5846	1+	21946956
1189.09208	2+	17152338
1189.57269	2+	6904254
1191.08787	2+	27916330
1193.56809	1+	6600923
1196.08135	2+	26823580
1198.09576	2+	35964200
1201.53096	1+	6120372
1203.05053	2+	6437934
1203.5935	2+	11834765
1204.59943	2+	83436592
1205.58464	2+	12486862
1207.54715	1+	7231057
1207.59822	2+	4713794
1209.56103	1+	52202528
1211.59447	2+	16335803
1212.59575	2+	64012928
1213.56288	1+	6506839
1216.58041	1+	13406678
1218.60013	2+	11426102
1219.60574	2+	81567312
1220.58994	2+	41706316
1224.07526	2+	14626863
1226.09086	2+	45752452
1228.10529	2+	290806912
1231.54208	1+	19939194
1233.10089	2+	16980312
1234.58532	2+	17128506
1235.57176	1+	7882489
1239.07447	2+	49089504
1239.57104	1+	22574166
1241.08919	2+	199736592
1241.5865	1+	136473008
1247.03051	2+	6611406
1247.60144	2+	14221188
1249.11184	2+	15203417
1249.55308	1+	12737539
1253.58116	2+	4858101
1254.60796	2+	19934092
1255.0888	2+	13270589
1256.09991	2+	182217584
1259.12252	2+	7914766
1261.09299	2+	69182632
1263.10775	2+	7107313
1263.56776	1+	54487380
1269.11068	1+	7904346
1269.61311	1+	15852228
1270.61784	2+	89994648
1273.55266	1+	7026373
1277.1061	2+	139767040
1283.65908	1+	7744104
1285.57738	1+	27472244
1292.62699	2+	5495037
1295.65647	1+	11295926
1298.13773	2+	8307569
1299.60934	1+	7547240
1305.15174	2+	5222480
1309.67674	1+	5885645
1311.65456	1+	12984793
1313.1401	1+	5509431
1313.67057	1+	15331198
1315.62296	1+	13749166
1319.6489	2+	14969935
1324.6643	1+	6830761
1325.66049	2+	15380060
1327.68655	1+	14150209
1329.69767	1+	13076242
1333.66546	2+	18510646
1335.1583	2+	42632640
1337.60506	1+	15780039
1339.68559	1+	13164649
1340.65548	2+	24549104
1342.16703	2+	93731112
1343.13928	2+	20454690
1345.69209	1+	11276213
1348.16879	2+	22452818
1349.1514	2+	14139206
1354.67397	2+	18762588
1356.15757	2+	28388224
1356.18554	2+	49462704
1357.69518	1+	29828620
