# LNFP 3. [Fuc(a1-3)] [Gal(b1-4)] GlcNAc(b1-3) Gal(b1-4) Glc(b1-0)
# O18
# Metal: Na
# Method: EED
# Permethylated
# Precursor: Na+ 1102.5494

m/z	        z	I
210.24247	1+	2011588
214.22153	2+	2036783
214.33731	1+	1964152
214.3854	1+	2019925
217.44156	3+	2149934
218.14281	3+	2145136
218.80291	3+	2446202
224.51109	3+	2172055
226.13832	1+	2177448
226.32264	2+	2318911
227.0882	3+	3391427
227.40623	2+	2406412
227.43804	2+	2178765
230.0423	3+	2313180
232.08526	1+	2332194
233.5296	3+	2385791
234.02138	3+	2198797
234.98373	3+	2259266
238.68358	1+	2172326
239.1293	3+	2312823
239.96512	1+	2983036
241.10739	2+	2396581
241.5198	2+	2263722
243.37763	3+	2217852
244.51763	3+	2290869
246.04894	1+	2480998
246.29133	2+	2265870
246.64348	2+	2373003
247.16412	2+	2223524
249.64374	2+	2301062
250.4628	3+	2323253
253.95727	3+	2353359
254.1648	2+	2472433
257.68632	3+	2200350
258.52164	2+	2397261
259.81905	1+	2183120
262.89205	3+	2419794
266.00926	3+	2499545
269.19494	1+	2341572
270.49152	2+	2446040
277.29919	1+	2920027
278.53605	2+	2299773
280.0315	2+	2443662
282.47332	3+	2276284
282.66269	1+	2404166
283.53384	1+	2496159
284.53904	2+	2414137
284.7526	2+	2378092
288.8258	2+	2326656
294.34344	1+	2422594
295.3979	3+	2552457
295.90851	3+	2444036
296.73161	2+	2334111
296.8768	3+	2487815
297.23326	2+	2274759
298.43623	1+	2331579
304.19547	2+	2687213
308.75152	3+	2643037
311.27191	3+	2519541
336.4732	2+	2520845
336.57144	3+	2448082
336.58046	2+	2400693
337.12848	1+	2963294
337.4261	3+	2480475
339.73061	3+	2345815
345.24872	2+	2391724
345.59784	1+	2357056
349.54839	1+	2419438
354.45294	2+	2561069
355.06907	1+	10600698
357.70598	1+	2557667
360.92088	2+	2345469
361.66967	3+	2492628
368.34238	2+	7605703
368.5039	3+	2658378
370.66383	2+	2515072
376.95275	2+	2820860
382.33616	2+	2357470
382.85175	2+	2553486
389.43485	2+	2390640
393.00244	1+	2695048
393.17977	3+	2377865
393.61609	2+	2963126
401.17802	1+	39805668
402.1853	3+	2571431
403.25409	1+	2522123
405.26769	3+	2543958
408.09981	2+	2617014
412.37579	2+	2477355
424.17798	1+	2459728
425.07737	2+	2491458
427.43312	1+	2618123
429.0881	1+	5804883
430.24119	2+	3398310
431.18869	1+	9813665
432.19748	1+	9832695
433.20432	1+	35883072
434.15031	1+	2678283
445.06536	2+	2462181
447.20868	1+	65546112
448.83127	3+	2563865
450.7787	2+	2564890
452.58475	3+	2478594
464.48674	3+	2686128
465.21922	1+	38174148
469.0098	2+	2704197
469.74009	2+	2521125
469.98207	2+	3249616
472.21529	1+	29767088
473.84847	3+	2506149
477.72584	2+	2787554
478.73167	2+	17477122
484.66236	1+	2568166
489.88856	1+	2826358
493.21427	1+	76892880
498.517	3+	2649804
504.43072	2+	2701234
509.61727	1+	2704830
518.49195	3+	2557336
520.38929	2+	2549176
522.59781	2+	2679432
523.28036	2+	2797408
526.39719	2+	2600509
529.75385	2+	4595865
546.11371	2+	2579398
553.46154	2+	2636660
558.06834	2+	3289728
563.35452	1+	3272506
572.03217	2+	2703979
596.90137	1+	2978445
605.0235	1+	2845471
618.29852	1+	15717669
620.31414	1+	102242208
621.29793	1+	28691564
630.31005	1+	10758418
631.50246	1+	3010521
632.3138	1+	7115320
632.32538	1+	12582716
638.78229	2+	6480243
650.32453	1+	15882505
660.32021	1+	99832968
662.32461	1+	111588392
662.80112	1+	3592480
672.26777	1+	3656295
676.31499	1+	89537488
692.33515	1+	168658752
704.36409	2+	2861705
708.32677	2+	11266861
713.17183	1+	3070242
734.35746	1+	14565617
738.34069	1+	40000244
738.34895	2+	3456517
752.35606	1+	18286954
764.90739	1+	3379287
772.81161	1+	3002801
787.53869	1+	3378944
807.65959	1+	3664718
824.41433	1+	11962375
834.40929	1+	25321982
836.42571	1+	11043267
852.40839	1+	8380499
854.4241	1+	55795364
866.39958	1+	14206979
866.42414	1+	27256052
880.4146	1+	87656624
896.43494	1+	27866270
912.42947	1+	28301514
942.43989	1+	75301400
950.97151	2+	5178971
952.47217	1+	30410138
984.48648	1+	13234872
1026.4966	1+	31089262
1028.51358	1+	20783436
1038.5083	1+	8698065
1040.51092	1+	18556738
1040.5266	1+	32387720
1056.50908	1+	45460016
1070.52304	1+	102199296
1072.5038	1+	7525859
1086.51952	1+	15523607
1100.53809	1+	12462928
1102.54941	1+	4148625152
1103.20703	1+	3912773
1108.57422	1+	12741892
1979.22457	3+	8164326
2439.13865	2+	9223006
