# N002. [NeuAc(a2-3) Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [NeuAc(a2-3) Gal(b1-4) GlcNAc(b1-2) Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1416.2031


m/z	z	I
208.13278	6+	3271179
209.98938	5+	1876687
211.22278	11+	2362060
211.30936	3+	2042185
213.07375	7+	2519156
213.30458	5+	2011003
214.10749	8+	2504563
214.86708	4+	1976704
215.43149	5+	2541656
216.23769	4+	2353357
216.97691	2+	2231706
217.06281	7+	2057919
217.60916	3+	2336530
219.23487	2+	2324612
219.42235	2+	2190860
221.36658	2+	2108532
221.38362	3+	2368157
222.23394	5+	7290294
222.57337	1+	2342830
223.07675	2+	2463659
223.98575	3+	2246100
225.13378	1+	3964531
228.03235	11+	2388136
228.16897	3+	2367961
229.58496	6+	2302850
230.11562	3+	2966223
231.13108	1+	2278881
231.81398	3+	2499301
231.94177	2+	2372427
234.88289	2+	2730032
236.9212	2+	3041409
237.93785	6+	4037844
238.1284	2+	2417928
242.74965	3+	3809331
243.722	3+	3111654
244.26822	3+	2145943
244.51954	2+	2282896
246.97011	1+	2546654
249.07111	3+	3315061
250.06831	3+	2160978
250.48936	2+	2212760
251.57813	2+	2456057
253.57475	2+	2206730
254.13669	1+	17783892
255.04216	1+	2246176
255.14182	4+	2911575
255.89921	2+	2176802
262.14143	1+	9778550
263.43137	3+	2518528
263.99447	7+	2182515
264.03378	2+	3100506
264.08031	1+	2757792
264.69918	1+	2694839
264.78738	2+	2157917
265.56787	5+	2410866
265.57603	2+	2448640
266.09966	2+	3036182
267.78287	3+	8061527
267.8639	4+	9144191
269.36031	2+	24052660
269.41504	3+	10918418
269.42931	3+	6416273
269.43307	1+	12041967
270.16217	3+	3870027
270.22708	1+	2443689
270.87844	5+	2369330
271.97894	11+	2432298
271.981	3+	2363886
272.26824	1+	2445413
272.2819	4+	2178587
274.12864	1+	11915117
277.75554	2+	2897306
279.95126	5+	3621903
281.05076	1+	25295124
281.87995	4+	8482926
282.13132	1+	11000655
283.2487	3+	7538588
283.79878	2+	2382327
284.43427	2+	2795895
285.15313	5+	9310650
286.1618	10+	2294763
287.11105	4+	5244431
288.12472	4+	2272105
291.29795	2+	2515432
292.11615	2+	2303069
293.37111	2+	2226906
293.86798	2+	2971543
294.13058	4+	2441711
294.99018	1+	2396432
295.07172	6+	2351556
297.82973	3+	2352034
297.99483	6+	3025266
298.9844	3+	2400126
299.16889	1+	41539988
301.5662	2+	2616610
302.60494	3+	2515228
