# Lewis Y. [Fuc(a1-2) Gal(b1-4)][Fuc(a1-3)] GlcNAc(b1-0)
# O18
# Metal: Na
# Method: EED
# Permethylated
# Precursor: Na+  868.4396

m/z	        z	I
210.77319	3+	13854791
216.10493	3+	18201760
226.10881	3+	10693596
227.08921	2+	11693397
228.77086	3+	6359945
254.12501	1+	94525464
264.13252	1+	6067074
268.80413	3+	9365802
270.11989	1+	17722992
274.13612	3+	15920819
274.80774	3+	8823342
284.13964	3+	6920892
286.11476	1+	23180630
289.79969	1+	30440706
290.15172	3+	101091176
290.4730	3+	14092547
290.48689	3+	15055644
347.14715	1+	8398005
351.13019	1+	18175792
354.14094	1+	12764336
354.1888	1+	16033946
355.06951	1+	11977579
361.67646	2+	7109472
365.14596	1+	21876616
368.34377	1+	10263143
371.16767	1+	26909928
373.14652	2+	8339366
373.1833	1+	13198424
380.76156	1+	13011575
382.18357	1+	15905543
382.32296	1+	14141896
385.1833	1+	24105676
387.1626	1+	14370774
387.19896	1+	46619132
396.19927	1+	95466008
401.17817	1+	480159072
403.15735	1+	23621558
403.19384	1+	13108328
414.19836	1+	55471248
415.19384	1+	47328840
416.21387	1+	38704016
417.1731	1+	13981367
417.17374	3+	41573900
417.20948	1+	13686348
426.19847	1+	16776197
428.21405	1+	152192528
429.02024	1+	18041342
429.22201	1+	6841997
430.2313	2+	6810313
431.18877	1+	326237056
433.20439	1+	230202128
434.72172	2+	15164679
436.2427	1+	25653540
442.19346	1+	14074467
444.20874	1+	106579616
445.20435	1+	21768208
456.20982	2+	8588476
456.2208	2+	7118118
458.22454	1+	605458496
460.20395	1+	22851056
460.24029	1+	22013890
463.18218	3+	5272038
472.20384	1+	11369347
474.21954	1+	240147712
475.2158	2+	18468904
476.23511	1+	30658280
477.19289	1+	15758723
487.21493	1+	34827772
489.04144	1+	19797572
491.20973	1+	23638530
500.23368	1+	5467569
503.24619	1+	102599432
504.23015	1+	501423360
514.26205	1+	9751850
517.22548	1+	29903778
517.25048	1+	15368183
517.26163	1+	5841754
519.05208	1+	11459923
519.20463	1+	13411496
519.24131	1+	12945112
530.24545	1+	75458816
531.24191	2+	17686920
532.22292	1+	6780597
533.2209	1+	25287918
544.26183	1+	18465604
546.2406	1+	64051100
546.27698	1+	78489952
556.27291	1+	14484955
558.27701	1+	49841884
559.29636	1+	58696908
560.25614	1+	172151792
563.23091	1+	40656488
567.27556	2+	6901871
570.2885	1+	12753373
571.78579	2+	10342391
572.29267	1+	21051808
574.27251	1+	20658712
574.2830	1+	9829313
576.28758	1+	57996664
586.27226	1+	14260922
588.28797	1+	73209512
590.26492	1+	7662615
591.28723	1+	410801120
597.25858	1+	12343383
600.28809	1+	16330189
600.29868	1+	32294674
602.3031	1+	136300832
604.28056	1+	11965895
605.26661	1+	16551792
605.2778	1+	48843088
607.29369	1+	7494302
611.27444	1+	9199892
616.28314	1+	20783376
618.29855	1+	270432576
621.32174	1+	146823392
630.29874	1+	25014294
630.30959	1+	68712144
632.31381	1+	464433568
635.28849	1+	33245422
636.30925	1+	32737066
640.34206	1+	41156512
644.28858	1+	37171688
648.30875	1+	510595744
651.28331	1+	16417822
662.3244	1+	1724683392
664.30371	1+	99976576
664.34186	1+	18779794
676.33809	1+	6577102
678.32003	1+	325753984
679.27941	1+	18306972
680.33486	1+	117455600
681.29443	1+	17129160
693.29482	1+	33259598
695.30938	1+	23029304
706.31751	1+	9061939
706.35045	1+	26618332
708.32989	1+	1349152128
711.28335	1+	17684518
722.3454	1+	36056816
723.30481	1+	41118044
732.37754	1+	50147240
734.3461	1+	8759546
736.32446	1+	58146480
736.36124	1+	161551952
738.34172	1+	6860062
748.3613	1+	13364046
750.37681	1+	124337200
752.35618	1+	48225956
762.37451	1+	46255760
763.37173	1+	9090682
764.35695	1+	45037608
764.39252	1+	36482268
767.37972	1+	13514667
776.39255	1+	41348756
778.37291	1+	15233980
780.35164	1+	11252654
780.38826	1+	13230477
790.37232	1+	10796795
792.3883	1+	178675280
794.40327	1+	574735616
804.39866	1+	24283888
806.4031	1+	285816096
807.36296	1+	39912568
809.37807	1+	28345806
810.39846	1+	19296482
822.39902	1+	465712096
824.41371	1+	286372384
832.84993	1+	15345765
834.40936	1+	37189140
836.41362	1+	1091386624
838.39358	1+	120446880
839.38693	1+	28082920
850.82163	1+	13379262
850.86098	1+	19958658
852.40877	1+	192370528
867.71948	1+	8614073
868.44002	1+	55652634624
869.39991	1+	3593595392
869.87495	1+	10402850
870.85417	2+	7390608
870.91368	1+	9907481
871.4151	1+	1250654848
872.11125	1+	6823366
872.18185	1+	7841561
872.21831	1+	9468275
872.23755	2+	12158002
872.55278	2+	20924356
872.69193	2+	10322910
873.45502	1+	30835714
873.49391	1+	13964863
1241.08917	1+	9724243
2075.5475	2+	5577727
2440.1474	1+	7449304
