# LNFP 1. Fuc(a1-2) Gal(b1-3) GlcNAc(b1-3) Gal(b1-4) Glc(b1-0)
# O18
# Metal: Cs
# Method: EED
# Permethylated
# Precursor: Cs+ 1212.4665

m/z	        z	I
218.86011	2+	2938645
228.12339	2+	32688734
231.65096	1+	2719763
233.76761	2+	2932363
242.69848	1+	62147668
242.95714	2+	3206760
243.09987	1+	2953475
243.74019	2+	6073331
248.21988	2+	2662092
255.38281	1+	2735424
255.91873	1+	2977864
256.74809	2+	2644171
270.34878	2+	3000690
273.0861	1+	3528391
280.4277	1+	2652418
281.05087	1+	10265823
283.09007	1+	5068222
295.61253	2+	2754019
303.65301	2+	2832537
304.41735	2+	2675476
313.16598	2+	2767561
315.11371	1+	3306667
322.2839	2+	2662808
322.98948	1+	7091203
324.09699	2+	2845512
332.02621	1+	4909112
333.18599	2+	3004282
336.02115	1+	4219805
337.00467	1+	25536950
338.01298	1+	10309875
341.03227	2+	3123845
345.50107	2+	2795083
347.88405	2+	3103976
352.99961	1+	638895616
353.5065	2+	3824963
354.13463	2+	4779550
355.31865	1+	3182122
362.03673	1+	9194204
363.40574	1+	2970838
364.01536	1+	6846955
368.21515	2+	2788579
370.50125	1+	2734955
376.01564	1+	35657596
376.82454	2+	2899746
378.03128	1+	136680912
378.81108	1+	3080516
379.31828	2+	3395216
381.01507	1+	2848636
383.70071	2+	3107662
389.14942	2+	5067495
395.08164	1+	2885735
399.03013	1+	22551118
405.45548	2+	3649085
414.10556	1+	3112361
416.14164	2+	2903806
416.73423	2+	3039464
420.83537	1+	3136718
427.02298	1+	3371038
428.77679	1+	3532574
436.59876	2+	2827015
438.29864	2+	2814045
439.63162	2+	3383210
442.34833	1+	2876527
447.20935	1+	3018606
448.43094	2+	2848162
450.23333	1+	21082404
452.99277	1+	3089278
455.71411	1+	2830405
460.49457	1+	3180055
469.04708	2+	5564111
480.06348	2+	35164164
481.9596	2+	2894851
483.06274	2+	3303653
492.18112	2+	3416995
492.69004	2+	3549309
497.07944	1+	6637263
497.10345	1+	4359921
497.11487	1+	11633415
497.84532	2+	3134736
498.08647	1+	3157801
498.76217	2+	2944625
511.09378	1+	52121684
513.10963	1+	15548406
517.27558	1+	35225200
523.06312	1+	3002511
523.8696	1+	3058917
527.08878	1+	45445820
527.11372	1+	82252216
533.68947	2+	170348480
536.12621	2+	6927246
540.12066	1+	32790558
541.10557	1+	159869984
543.12001	1+	140585168
548.93535	2+	3114373
549.78456	1+	3468743
550.10499	1+	13418061
552.12051	1+	23618372
557.12448	1+	349364448
566.13585	1+	8873587
568.11528	1+	14309061
573.11962	1+	120845960
574.20653	2+	12465857
575.13486	1+	60046424
576.97936	2+	6977293
579.61935	2+	6182618
582.13108	1+	92698160
585.20097	2+	3433931
597.11509	1+	5414588
601.1257	1+	4577439
603.12984	1+	414190144
606.23315	2+	22589666
638.33834	1+	85919624
640.17292	1+	55428848
670.35307	1+	26060064
677.71069	2+	3327495
697.69509	2+	4268007
699.19857	1+	28803230
700.18282	1+	16733280
721.68792	2+	3710048
726.21026	1+	6275336
728.21424	1+	11192060
730.22967	1+	635949888
731.21373	1+	190888480
740.22505	1+	10935270
742.2052	1+	22931132
742.2281	1+	23803118
742.24151	1+	29271098
744.22007	1+	19349260
746.22474	1+	68844296
753.66338	2+	3957372
756.22007	1+	20332984
758.22465	1+	39360608
759.24174	1+	9957537
761.24801	1+	57603136
770.23652	1+	74066424
772.24024	1+	594730432
774.22064	1+	9246302
776.23538	1+	5025871
784.21569	1+	10674222
786.23074	1+	675899072
788.23539	1+	168622416
795.72133	1+	3692253
800.24659	1+	5865109
802.25058	1+	437407264
803.26456	1+	18705292
804.23046	1+	13679392
816.24235	1+	9994256
818.24604	1+	190835936
820.2623	1+	12704889
842.43813	1+	10834901
844.27278	1+	87324424
848.25644	1+	277795840
862.27197	1+	148095872
874.2835	1+	18547258
875.21076	1+	3857228
890.26711	1+	14453199
890.30464	1+	7918313
902.30343	1+	10577889
904.28281	1+	40442460
904.31862	1+	23595148
914.31523	1+	6468258
916.33053	1+	11121409
916.48666	1+	7965803
930.31017	1+	8157140
932.31482	1+	16385412
934.3303	1+	14103243
