# LNFP 2. [Fuc(a1-4)] [Gal(b1-3)] GlcNAc(b1-3) Gal(b1-4) Glc(b1-0)
# O18
# Metal: Na
# Method: EED
# Permethylated
# Precursor: Na+ 1102.5495

m/z	        z	I
211.92679	3+	2012780
212.37573	3+	1920943
214.44521	1+	2003971
215.59919	1+	2652130
215.80581	1+	2009118
216.31126	2+	2222275
217.86549	2+	2305472
220.6913	1+	2033759
223.7206	1+	2241497
223.90989	1+	1980767
225.3256	3+	2040950
225.77395	2+	3317832
227.77177	2+	2218386
228.71597	3+	2153658
229.06313	1+	2401794
233.93793	2+	2501120
235.85876	3+	2213583
237.06573	2+	2396922
237.41879	1+	2352524
238.92519	2+	2340395
239.84741	3+	2397819
240.18351	2+	3532026
246.8214	2+	2003953
247.34258	2+	2103429
248.21352	2+	2022112
251.1252	1+	1989023
255.4472	3+	2277689
256.72574	2+	2050628
257.2809	3+	2316640
257.92503	2+	1992020
259.82571	3+	2151700
264.44321	1+	2129065
264.69345	1+	2141625
265.40678	1+	2220572
266.54816	2+	2240084
267.08328	2+	2418213
269.18453	2+	2340342
271.70467	2+	2432233
276.14691	2+	2460357
278.18553	2+	2773137
285.11748	2+	2040081
291.2749	2+	2160427
293.34004	1+	2077395
294.48135	3+	2207102
296.14201	3+	2215099
300.29479	1+	2078463
301.12516	1+	2073494
305.4443	3+	2256482
308.33876	2+	2088439
308.77637	1+	2250904
313.17127	3+	2131306
313.86087	3+	2330245
314.48446	3+	2223804
314.87875	3+	2119020
317.49466	3+	3732425
318.3557	1+	2204107
321.12961	2+	2191608
328.88545	1+	2448021
330.12662	1+	2723471
330.81066	2+	2637349
332.95061	2+	2175433
340.59225	2+	2243619
342.34063	2+	2318982
342.84261	3+	2158564
343.16128	2+	4092843
346.84645	3+	2649708
350.83637	2+	2188844
351.5034	1+	2299010
355.06898	1+	5662335
355.66394	2+	2506362
355.74999	2+	2712121
359.14907	2+	2456809
360.2294	3+	2317424
368.28808	2+	2895490
369.64358	2+	2278679
372.07034	1+	2484841
374.44346	1+	2564320
381.37227	2+	2303428
382.32284	1+	7062518
385.4692	2+	2244532
388.93465	2+	2433309
396.20017	1+	6464454
398.17825	1+	7544549
398.60351	2+	2241106
400.3799	2+	2417835
401.17816	1+	28508954
403.47648	2+	2369898
403.88466	2+	2310912
408.22093	1+	2552806
411.01623	3+	2307463
412.27029	3+	2363781
412.28591	2+	2276916
416.69519	2+	11188862
417.19802	1+	22431458
419.30675	2+	2235765
423.19281	2+	2288711
424.19491	2+	3250692
426.17345	1+	3292270
426.2097	3+	12970258
426.21013	1+	3914629
431.18943	1+	14386902
432.19741	1+	6844935
432.3017	2+	2912882
433.20432	1+	21489914
438.64749	2+	2417073
440.18936	1+	20509234
442.20478	1+	163492688
443.31724	3+	2647033
447.20871	1+	152894480
448.7219	2+	4929226
453.63891	2+	2407543
456.72994	2+	2674225
462.16122	2+	2390057
463.20398	1+	40717128
465.21915	1+	110414248
468.99948	1+	2861254
470.20007	1+	20717344
472.21535	1+	149425616
472.34834	3+	2412807
476.16964	2+	2350119
478.73167	2+	47445124
485.47057	2+	2543497
489.32043	2+	2373915
490.54218	3+	2443425
493.21415	1+	218597792
495.2202	3+	2384704
499.87915	3+	3365167
500.20918	1+	5064383
502.13112	1+	2612331
551.27519	2+	10692062
555.76852	2+	3211827
555.99194	3+	2469018
564.97393	2+	2483904
567.76884	2+	3347296
583.80246	2+	2485063
586.28342	1+	7000210
588.54712	1+	2611820
589.27087	1+	3356725
589.28316	1+	16411555
589.98583	1+	2727233
590.30379	1+	4091983
591.28712	1+	3311850
599.25486	2+	2768463
600.29954	1+	6939823
601.78065	2+	3125705
606.83794	1+	2883412
614.28019	2+	4338621
616.29413	1+	9029226
618.29876	1+	26732340
620.31415	1+	261014160
621.29879	1+	21301350
628.29402	1+	7316364
630.30975	1+	13632390
632.31291	1+	29751898
632.32554	1+	31444456
634.30455	1+	8164014
636.30913	1+	10013380
638.33851	1+	14651250
639.30643	2+	3996943
644.28887	1+	7575917
646.30444	1+	32103708
648.30943	1+	36927808
650.32449	1+	11216533
660.32022	1+	264758880
662.32455	1+	305449280
674.29951	2+	3914390
676.31502	1+	234857664
678.31953	1+	9574603
692.33511	2+	84249248
692.83055	2+	3276375
706.31581	1+	4410690
708.33057	1+	13478634
734.357	1+	40218996
738.34071	1+	24364100
