# N222. [Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [NeuAc(a2-3) Gal(b1-4) GlcNAc(b1-2) Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1235.6176


m/z	z	I
206.09326	3+	31182896
228.12286	1+	46042612
230.13852	1+	36065044
246.13342	1+	201695920
259.11505	1+	31413132
269.15816	2+	44028228
274.12837	1+	121516080
277.18668	1+	99275680
295.19723	1+	144640400
296.11021	3+	31697216
299.1686	1+	80182968
308.89987	2+	69005208
309.0919	1+	36847300
309.16065	1+	57172772
312.14403	1+	89374264
315.16356	1+	42323084
317.17916	1+	175072688
329.1568	1+	70318408
339.1612	1+	64099396
344.17028	1+	657118784
346.12357	1+	37903048
356.16778	1+	653828672
368.16797	1+	41839764
374.18079	1+	41069880
376.19648	1+	399751168
386.18082	1+	63966296
386.20082	1+	52163848
398.1786	1+	188487776
399.18624	1+	91311176
400.19644	1+	29639586
404.54524	2+	51821336
404.55478	3+	53002324
406.14468	1+	170858816
408.54336	1+	161668432
408.55099	2+	56555824
408.70721	3+	60751948
408.71058	1+	305534880
408.7181	2+	84551840
408.87154	1+	29337344
408.88469	1+	45730640
409.54367	2+	45397348
409.54669	1+	245295120
409.55463	2+	69216192
409.71096	3+	30659526
409.72214	3+	43675316
409.88059	1+	64782812
411.36609	1+	44241780
411.37108	3+	95015560
411.3911	3+	44182560
411.53843	2+	129860632
411.70083	3+	352103392
411.71181	3+	89933080
411.87262	3+	3226140672
412.03524	2+	519661984
412.03978	3+	4350979584
412.19954	1+	340838464
412.20318	2+	314459424
412.22102	3+	203297072
412.3883	2+	144469504
412.5542	3+	38443292
415.19346	1+	144407920
416.16563	1+	49156496
417.17298	1+	39575960
418.20698	1+	126210384
420.16029	1+	32785156
426.20967	1+	29247330
428.18889	1+	53901428
428.22525	1+	161696368
429.21903	1+	38475460
430.20453	1+	107746712
432.22265	1+	1272150656
434.20183	1+	32626482
434.23825	1+	39991512
438.17083	1+	42678416
440.18893	1+	65556180
442.20455	1+	87111440
444.22024	1+	51580084
448.21757	1+	110793032
450.23323	1+	312496320
454.20457	1+	31078908
456.18384	1+	53098676
456.22017	1+	87142456
458.19948	1+	72311968
458.23558	1+	95985432
460.21503	1+	35226364
462.2332	1+	110241472
464.24885	1+	2907326720
466.25609	1+	70991536
470.19941	1+	69885816
470.25781	1+	88777064
472.21511	1+	683760512
472.27386	1+	116225936
476.21239	1+	66732984
480.24373	1+	36239004
484.27379	1+	43256816
486.17099	1+	168998752
486.23074	1+	472350176
487.23847	1+	102042896
488.21001	1+	38493216
494.19706	1+	45622148
494.2594	1+	210967024
500.26869	1+	91272032
502.22564	1+	230520944
502.28439	1+	144496704
508.23867	1+	134721072
514.28426	1+	359728544
528.24177	1+	47819092
530.27965	1+	101835400
534.25436	1+	44506316
542.221	1+	30319094
542.25741	1+	49538420
544.23668	1+	86028584
544.29532	1+	438110784
546.25183	1+	29052996
546.31064	1+	47248208
554.21801	1+	90607976
556.23664	1+	32295846
558.25217	1+	66673852
560.26748	1+	76049784
560.29019	1+	49282256
562.30554	1+	101847464
572.26759	1+	100802512
574.24728	1+	73131984
574.28298	1+	71531344
580.29616	1+	68854480
584.28733	1+	56308432
586.24735	1+	57357900
588.26247	1+	241673888
590.30043	1+	375812448
602.27856	1+	44859616
604.25727	1+	178588160
606.81787	2+	32296544
610.24421	1+	107849464
612.56458	2+	89530736
612.79956	1+	31361882
613.05068	2+	45321552
613.30097	1+	29903472
613.31628	2+	129974688
613.31719	1+	155803296
614.27853	1+	39786872
614.30516	2+	29426482
614.32053	2+	129745224
616.29632	1+	49315160
617.05669	2+	69699984
617.07251	1+	32725728
617.3077	2+	96729248
617.32205	1+	59435964
617.56195	2+	288227424
617.79384	2+	412199808
617.80906	2+	1858792576
618.04413	2+	519067904
618.06014	2+	2628862208
618.08041	2+	496665760
