,0,1,2,3,4,5,6,7
167,1,0,1,1,0,1,0,0
168,4,0,0,1,0,0,0,0
169,3,1,1,0,0,0,0,0
170,0,1,2,0,0,1,0,0
171,1,0,0,1,2,0,0,0
172,0,1,1,0,2,0,0,0
173,0,2,0,0,1,1,0,0
174,1,2,0,0,0,0,1,0
175,0,5,0,0,0,0,0,0
176,0,0,1,0,0,1,0,1
177,0,0,2,1,1,0,0,0
178,3,0,0,0,0,0,0,1
179,0,0,0,4,0,0,0,0
180,1,0,0,2,0,1,0,0
181,0,1,1,1,0,1,0,0
182,2,0,0,0,0,2,0,0
183,3,1,0,1,0,0,0,0
184,2,2,1,0,0,0,0,0
185,0,0,0,0,2,0,0,1
186,0,0,0,0,1,1,1,0
187,1,0,0,0,0,0,2,0
188,0,1,0,1,2,0,0,0
189,0,3,0,0,0,0,1,0
190,0,0,0,1,0,1,0,1
191,0,0,1,2,1,0,0,0
192,1,0,1,0,1,1,0,0
193,2,1,0,0,0,0,0,1
194,2,0,1,0,0,0,1,0
195,4,0,0,0,1,0,0,0
196,0,1,0,2,0,1,0,0
197,1,1,0,0,0,2,0,0
198,2,2,0,1,0,0,0,0
199,1,3,1,0,0,0,0,0
